,Value
bs0_1_0,18762136350.0
bs0_1_1,18702126350.0
bs0_1_2,18714196350.0
bs0_1_3,18720146350.0
bs0_1_4,18646536350.0
bs0_1_5,18709776350.0
bs0_1_6,17519266350.0
bs0_1_7,17182326350.0
bs0_1_8,17631466350.0
bs0_1_9,18409556350.0
bs0_1_10,18633276350.0
bs0_1_11,18642626350.0
bs0_1_12,18597406350.0
bs0_1_13,18501356350.0
bs0_1_14,18385076350.0
bs0_1_15,17314586350.0
bs0_1_16,16542446350.0
bs0_1_17,17129116350.0
bs0_1_18,18350736350.0
bs0_1_19,18367226350.0
bs0_1_20,18609986350.0
bs0_1_21,18600806350.0
bs0_1_22,18635656350.0
bs0_1_23,18503736350.0
bs0_2_0,21300542965.0
bs0_2_1,21232413965.0
bs0_2_2,21246116965.0
bs0_2_3,21252871965.0
bs0_2_4,21169302965.0
bs0_2_5,21241098965.0
bs0_2_6,19889519965.0
bs0_2_7,19506993965.0
bs0_2_8,20016899965.0
bs0_2_9,20900260965.0
bs0_2_10,21154248965.0
bs0_2_11,21164863965.0
bs0_2_12,21113525965.0
bs0_2_13,21004480965.0
bs0_2_14,20872468965.0
bs0_2_15,19657147965.0
bs0_2_16,18780541965.0
bs0_2_17,19446584965.0
bs0_2_18,20833482965.0
bs0_2_19,20852203965.0
bs0_2_20,21127807965.0
bs0_2_21,21117385965.0
bs0_2_22,21156950965.0
bs0_2_23,21007182965.0
bs0_3_0,23838949580.0
bs0_3_1,23762701580.0
bs0_3_2,23778037580.0
bs0_3_3,23785597580.0
bs0_3_4,23692069580.0
bs0_3_5,23772421580.0
bs0_3_6,22259773580.0
bs0_3_7,21831661580.0
bs0_3_8,22402333580.0
bs0_3_9,23390965580.0
bs0_3_10,23675221580.0
bs0_3_11,23687101580.0
bs0_3_12,23629645580.0
bs0_3_13,23507605580.0
bs0_3_14,23359861580.0
bs0_3_15,21999709580.0
bs0_3_16,21018637580.0
bs0_3_17,21764053580.0
bs0_3_18,23316229580.0
bs0_3_19,23337181580.0
bs0_3_20,23645629580.0
bs0_3_21,23633965580.0
bs0_3_22,23678245580.0
bs0_3_23,23510629580.0
bs0_4_0,26377356195.0
bs0_4_1,26292989195.0
bs0_4_2,26309958195.0
bs0_4_3,26318323195.0
bs0_4_4,26214836195.0
bs0_4_5,26303744195.0
bs0_4_6,24630027195.0
bs0_4_7,24156329195.0
bs0_4_8,24787767195.0
bs0_4_9,25881670195.0
bs0_4_10,26196194195.0
bs0_4_11,26209339195.0
bs0_4_12,26145765195.0
bs0_4_13,26010730195.0
bs0_4_14,25847254195.0
bs0_4_15,24342271195.0
bs0_4_16,23256733195.0
bs0_4_17,24081522195.0
bs0_4_18,25798976195.0
bs0_4_19,25822159195.0
bs0_4_20,26163451195.0
bs0_4_21,26150545195.0
