,Value
bs0_1_0,18670336350.0
bs0_1_1,18684616350.0
bs0_1_2,18688186350.0
bs0_1_3,18671696350.0
bs0_1_4,18669826350.0
bs0_1_5,18844076350.0
bs0_1_6,17263756350.0
bs0_1_7,17541536350.0
bs0_1_8,17198816350.0
bs0_1_9,18435396350.0
bs0_1_10,18564766350.0
bs0_1_11,18652826350.0
bs0_1_12,18338156350.0
bs0_1_13,18465656350.0
bs0_1_14,18418906350.0
bs0_1_15,17611406350.0
bs0_1_16,16751206350.0
bs0_1_17,17538816350.0
bs0_1_18,18509856350.0
bs0_1_19,18513766350.0
bs0_1_20,18612196350.0
bs0_1_21,18408706350.0
bs0_1_22,18205726350.0
bs0_1_23,18200456350.0
bs0_2_0,21196322965.0
bs0_2_1,21212534965.0
bs0_2_2,21216587965.0
bs0_2_3,21197866965.0
bs0_2_4,21195743965.0
bs0_2_5,21393568965.0
bs0_2_6,19599440965.0
bs0_2_7,19914802965.0
bs0_2_8,19525714965.0
bs0_2_9,20929596965.0
bs0_2_10,21076469965.0
bs0_2_11,21176443965.0
bs0_2_12,20819200965.0
bs0_2_13,20963950965.0
bs0_2_14,20910875965.0
bs0_2_15,19994125965.0
bs0_2_16,19017545965.0
bs0_2_17,19911714965.0
bs0_2_18,21014130965.0
bs0_2_19,21018569965.0
bs0_2_20,21130316965.0
bs0_2_21,20899295965.0
bs0_2_22,20668853965.0
bs0_2_23,20662870965.0
bs0_3_0,23722309580.0
bs0_3_1,23740453580.0
bs0_3_2,23744989580.0
bs0_3_3,23724037580.0
bs0_3_4,23721661580.0
bs0_3_5,23943061580.0
bs0_3_6,21935125580.0
bs0_3_7,22288069580.0
bs0_3_8,21852613580.0
bs0_3_9,23423797580.0
bs0_3_10,23588173580.0
bs0_3_11,23700061580.0
bs0_3_12,23300245580.0
bs0_3_13,23462245580.0
bs0_3_14,23402845580.0
bs0_3_15,22376845580.0
bs0_3_16,21283885580.0
bs0_3_17,22284613580.0
bs0_3_18,23518405580.0
bs0_3_19,23523373580.0
bs0_3_20,23648437580.0
bs0_3_21,23389885580.0
bs0_3_22,23131981580.0
bs0_3_23,23125285580.0
bs0_4_0,26248296195.0
bs0_4_1,26268372195.0
bs0_4_2,26273391195.0
bs0_4_3,26250208195.0
bs0_4_4,26247579195.0
bs0_4_5,26492554195.0
bs0_4_6,24270810195.0
bs0_4_7,24661336195.0
bs0_4_8,24179512195.0
bs0_4_9,25917998195.0
bs0_4_10,26099877195.0
bs0_4_11,26223679195.0
bs0_4_12,25781290195.0
bs0_4_13,25960540195.0
bs0_4_14,25894815195.0
bs0_4_15,24759565195.0
bs0_4_16,23550225195.0
bs0_4_17,24657512195.0
bs0_4_18,26022680195.0
bs0_4_19,26028177195.0
bs0_4_20,26166558195.0
bs0_4_21,25880475195.0
bs0_4_22,25595109195.0
bs0_4_23,25587700195.0
bs0_5_0,28774282810.0
bs0_5_1,28796290810.0
bs0_5_2,28801792810.0
bs0_5_3,28776378810.0
bs0_5_4,28773496810.0
bs0_5_5,29042046810.0
bs0_5_6,26606494810.0
bs0_5_7,27034602810.0
bs0_5_8,26506410810.0
bs0_5_9,28412198810.0
bs0_5_10,28611580810.0
bs0_5_11,28747296810.0
bs0_5_12,28262334810.0
bs0_5_13,28458834810.0
bs0_5_14,28386784810.0
bs0_5_15,27142284810.0
bs0_5_16,25816564810.0
bs0_5_17,27030410810.0
bs0_5_18,28526954810.0
bs0_5_19,28532980810.0
bs0_5_20,28684678810.0
bs0_5_21,28371064810.0
bs0_5_22,28058236810.0
bs0_5_23,28050114810.0
bs0_6_0,31300269425.0
bs0_6_1,31324209425.0
bs0_6_2,31330194425.0
bs0_6_3,31302549425.0
bs0_6_4,31299414425.0
bs0_6_5,31591539425.0
bs0_6_6,28942179425.0
bs0_6_7,29407869425.0
bs0_6_8,28833309425.0
bs0_6_9,30906399425.0
bs0_6_10,31123284425.0
bs0_6_11,31270914425.0
bs0_6_12,30743379425.0
bs0_6_13,30957129425.0
bs0_6_14,30878754425.0
bs0_6_15,29525004425.0
bs0_6_16,28082904425.0
bs0_6_17,29403309425.0
bs0_6_18,31031229425.0
bs0_6_19,31037784425.0
bs0_6_20,31202799425.0
bs0_6_21,30861654425.0
bs0_6_22,30521364425.0
bs0_6_23,30512529425.0
bs0_7_0,33826256040.0
bs0_7_1,33852128040.0
bs0_7_2,33858596040.0
bs0_7_3,33828720040.0
bs0_7_4,33825332040.0
bs0_7_5,34141032040.0
bs0_7_6,31277864040.0
bs0_7_7,31781136040.0
bs0_7_8,31160208040.0
bs0_7_9,33400600040.0
bs0_7_10,33634988040.0
bs0_7_11,33794532040.0
bs0_7_12,33224424040.0
bs0_7_13,33455424040.0
bs0_7_14,33370724040.0
bs0_7_15,31907724040.0
bs0_7_16,30349244040.0
bs0_7_17,31776208040.0
bs0_7_18,33535504040.0
bs0_7_19,33542588040.0
bs0_7_20,33720920040.0
bs0_7_21,33352244040.0
bs0_7_22,32984492040.0
bs0_7_23,32974944040.0
bs0_8_0,36352242655.0
bs0_8_1,36380046655.0
bs0_8_2,36386997655.0
bs0_8_3,36354890655.0
bs0_8_4,36351249655.0
bs0_8_5,36690524655.0
bs0_8_6,33613548655.0
bs0_8_7,34154402655.0
bs0_8_8,33487106655.0
bs0_8_9,35894800655.0
bs0_8_10,36146691655.0
bs0_8_11,36318149655.0
bs0_8_12,35705468655.0
bs0_8_13,35953718655.0
bs0_8_14,35862693655.0
bs0_8_15,34290443655.0
bs0_8_16,32615583655.0
bs0_8_17,34149106655.0
bs0_8_18,36039778655.0
bs0_8_19,36047391655.0
bs0_8_20,36239040655.0
bs0_8_21,35842833655.0
bs0_8_22,35447619655.0
bs0_8_23,35437358655.0
bs0_9_0,38878229270.0
bs0_9_1,38907965270.0
bs0_9_2,38915399270.0
bs0_9_3,38881061270.0
bs0_9_4,38877167270.0
bs0_9_5,39240017270.0
bs0_9_6,35949233270.0
bs0_9_7,36527669270.0
bs0_9_8,35814005270.0
bs0_9_9,38389001270.0
bs0_9_10,38658395270.0
bs0_9_11,38841767270.0
bs0_9_12,38186513270.0
bs0_9_13,38452013270.0
bs0_9_14,38354663270.0
bs0_9_15,36673163270.0
bs0_9_16,34881923270.0
bs0_9_17,36522005270.0
bs0_9_18,38544053270.0
bs0_9_19,38552195270.0
bs0_9_20,38757161270.0
