,Value
bs0_1_0,18817726350.0
bs0_1_1,18677816350.0
bs0_1_2,18839486350.0
bs0_1_3,18818406350.0
bs0_1_4,18881136350.0
bs0_1_5,18817896350.0
bs0_1_6,17476426350.0
bs0_1_7,17399246350.0
bs0_1_8,17053636350.0
bs0_1_9,18455626350.0
bs0_1_10,18429956350.0
bs0_1_11,18573946350.0
bs0_1_12,18563406350.0
bs0_1_13,18417376350.0
bs0_1_14,18567316350.0
bs0_1_15,17016916350.0
bs0_1_16,16934466350.0
bs0_1_17,17524876350.0
bs0_1_18,18432336350.0
bs0_1_19,18191956350.0
bs0_1_20,18317416350.0
bs0_1_21,18339176350.0
bs0_1_22,18633956350.0
bs0_1_23,18579896350.0
bs0_2_0,21363653965.0
bs0_2_1,21204814965.0
bs0_2_2,21388357965.0
bs0_2_3,21364425965.0
bs0_2_4,21435642965.0
bs0_2_5,21363846965.0
bs0_2_6,19840883965.0
bs0_2_7,19753261965.0
bs0_2_8,19360892965.0
bs0_2_9,20952563965.0
bs0_2_10,20923420965.0
bs0_2_11,21086891965.0
bs0_2_12,21074925965.0
bs0_2_13,20909138965.0
bs0_2_14,21079364965.0
bs0_2_15,19319204965.0
bs0_2_16,19225599965.0
bs0_2_17,19895888965.0
bs0_2_18,20926122965.0
bs0_2_19,20653220965.0
bs0_2_20,20795654965.0
bs0_2_21,20820358965.0
bs0_2_22,21155020965.0
bs0_2_23,21093646965.0
bs0_3_0,23909581580.0
bs0_3_1,23731813580.0
bs0_3_2,23937229580.0
bs0_3_3,23910445580.0
bs0_3_4,23990149580.0
bs0_3_5,23909797580.0
bs0_3_6,22205341580.0
bs0_3_7,22107277580.0
bs0_3_8,21668149580.0
bs0_3_9,23449501580.0
bs0_3_10,23416885580.0
bs0_3_11,23599837580.0
bs0_3_12,23586445580.0
bs0_3_13,23400901580.0
bs0_3_14,23591413580.0
bs0_3_15,21621493580.0
bs0_3_16,21516733580.0
bs0_3_17,22266901580.0
bs0_3_18,23419909580.0
bs0_3_19,23114485580.0
bs0_3_20,23273893580.0
bs0_3_21,23301541580.0
bs0_3_22,23676085580.0
bs0_3_23,23607397580.0
bs0_4_0,26455509195.0
bs0_4_1,26258812195.0
bs0_4_2,26486101195.0
bs0_4_3,26456465195.0
bs0_4_4,26544656195.0
bs0_4_5,26455748195.0
bs0_4_6,24569799195.0
bs0_4_7,24461293195.0
bs0_4_8,23975406195.0
bs0_4_9,25946439195.0
bs0_4_10,25910350195.0
bs0_4_11,26112783195.0
bs0_4_12,26097965195.0
bs0_4_13,25892664195.0
bs0_4_14,26103462195.0
bs0_4_15,23923782195.0
bs0_4_16,23807867195.0
bs0_4_17,24637914195.0
bs0_4_18,25913696195.0
bs0_4_19,25575750195.0
bs0_4_20,25752132195.0
bs0_4_21,25782724195.0
bs0_4_22,26197150195.0
bs0_4_23,26121148195.0
bs0_5_0,29001436810.0
bs0_5_1,28785810810.0
bs0_5_2,29034972810.0
bs0_5_3,29002484810.0
bs0_5_4,29099162810.0
bs0_5_5,29001698810.0
bs0_5_6,26934256810.0
bs0_5_7,26815308810.0
bs0_5_8,26282662810.0
bs0_5_9,28443376810.0
bs0_5_10,28403814810.0
bs0_5_11,28625728810.0
bs0_5_12,28609484810.0
bs0_5_13,28384426810.0
bs0_5_14,28615510810.0
bs0_5_15,26226070810.0
bs0_5_16,26099000810.0
bs0_5_17,27008926810.0
bs0_5_18,28407482810.0
bs0_5_19,28037014810.0
bs0_5_20,28230370810.0
bs0_5_21,28263906810.0
bs0_5_22,28718214810.0
bs0_5_23,28634898810.0
bs0_6_0,31547364425.0
bs0_6_1,31312809425.0
bs0_6_2,31583844425.0
bs0_6_3,31548504425.0
bs0_6_4,31653669425.0
bs0_6_5,31547649425.0
bs0_6_6,29298714425.0
bs0_6_7,29169324425.0
bs0_6_8,28589919425.0
bs0_6_9,30940314425.0
bs0_6_10,30897279425.0
bs0_6_11,31138674425.0
bs0_6_12,31121004425.0
bs0_6_13,30876189425.0
bs0_6_14,31127559425.0
bs0_6_15,28528359425.0
bs0_6_16,28390134425.0
bs0_6_17,29379939425.0
bs0_6_18,30901269425.0
bs0_6_19,30498279425.0
bs0_6_20,30708609425.0
bs0_6_21,30745089425.0
bs0_6_22,31239279425.0
bs0_6_23,31148649425.0
bs0_7_0,34093292040.0
bs0_7_1,33839808040.0
bs0_7_2,34132716040.0
bs0_7_3,34094524040.0
bs0_7_4,34208176040.0
bs0_7_5,34093600040.0
bs0_7_6,31663172040.0
bs0_7_7,31523340040.0
bs0_7_8,30897176040.0
bs0_7_9,33437252040.0
bs0_7_10,33390744040.0
bs0_7_11,33651620040.0
bs0_7_12,33632524040.0
bs0_7_13,33367952040.0
bs0_7_14,33639608040.0
bs0_7_15,30830648040.0
bs0_7_16,30681268040.0
bs0_7_17,31750952040.0
bs0_7_18,33395056040.0
bs0_7_19,32959544040.0
bs0_7_20,33186848040.0
bs0_7_21,33226272040.0
bs0_7_22,33760344040.0
bs0_7_23,33662400040.0
bs0_8_0,36639219655.0
bs0_8_1,36366806655.0
bs0_8_2,36681587655.0
bs0_8_3,36640543655.0
bs0_8_4,36762682655.0
bs0_8_5,36639550655.0
bs0_8_6,34027629655.0
bs0_8_7,33877355655.0
bs0_8_8,33204432655.0
bs0_8_9,35934189655.0
bs0_8_10,35884208655.0
bs0_8_11,36164565655.0
bs0_8_12,36144043655.0
bs0_8_13,35859714655.0
bs0_8_14,36151656655.0
bs0_8_15,33132936655.0
bs0_8_16,32972401655.0
bs0_8_17,34121964655.0
bs0_8_18,35888842655.0
bs0_8_19,35420808655.0
bs0_8_20,35665086655.0
bs0_8_21,35707454655.0
bs0_8_22,36281408655.0
bs0_8_23,36176150655.0
bs0_9_0,39185147270.0
bs0_9_1,38893805270.0
bs0_9_2,39230459270.0
bs0_9_3,39186563270.0
bs0_9_4,39317189270.0
bs0_9_5,39185501270.0
bs0_9_6,36392087270.0
bs0_9_7,36231371270.0
bs0_9_8,35511689270.0
bs0_9_9,38431127270.0
bs0_9_10,38377673270.0
bs0_9_11,38677511270.0
bs0_9_12,38655563270.0
bs0_9_13,38351477270.0
bs0_9_14,38663705270.0
bs0_9_15,35435225270.0
bs0_9_16,35263535270.0
bs0_9_17,36492977270.0
bs0_9_18,38382629270.0
bs0_9_19,37882073270.0
bs0_9_20,38143325270.0
bs0_9_21,38188637270.0
bs0_9_22,38802473270.0
bs0_9_23,38689901270.0
bs0_10_0,41731074885.0
bs0_10_1,41420803885.0
