,Value
bs0_1_0,18725756350.0
bs0_1_1,18755166350.0
bs0_1_2,18876716350.0
bs0_1_3,18819256350.0
bs0_1_4,18816706350.0
bs0_1_5,18854616350.0
bs0_1_6,17180286350.0
bs0_1_7,17858416350.0
bs0_1_8,17977586350.0
bs0_1_9,18376406350.0
bs0_1_10,18408706350.0
bs0_1_11,18665746350.0
bs0_1_12,18616276350.0
bs0_1_13,18305176350.0
bs0_1_14,18430806350.0
bs0_1_15,17465206350.0
bs0_1_16,17226016350.0
bs0_1_17,16402876350.0
bs0_1_18,18400206350.0
bs0_1_19,18446106350.0
bs0_1_20,18243636350.0
bs0_1_21,18470926350.0
bs0_1_22,18397996350.0
bs0_1_23,18512746350.0
bs0_2_0,21259240965.0
bs0_2_1,21292629965.0
bs0_2_2,21430624965.0
bs0_2_3,21365390965.0
bs0_2_4,21362495965.0
bs0_2_5,21405534965.0
bs0_2_6,19504677965.0
bs0_2_7,20274554965.0
bs0_2_8,20409847965.0
bs0_2_9,20862625965.0
bs0_2_10,20899295965.0
bs0_2_11,21191111965.0
bs0_2_12,21134948965.0
bs0_2_13,20781758965.0
bs0_2_14,20924385965.0
bs0_2_15,19828145965.0
bs0_2_16,19556594965.0
bs0_2_17,18622088965.0
bs0_2_18,20889645965.0
bs0_2_19,20941755965.0
bs0_2_20,20711892965.0
bs0_2_21,20969933965.0
bs0_2_22,20887136965.0
bs0_2_23,21017411965.0
bs0_3_0,23792725580.0
bs0_3_1,23830093580.0
bs0_3_2,23984533580.0
bs0_3_3,23911525580.0
bs0_3_4,23908285580.0
bs0_3_5,23956453580.0
bs0_3_6,21829069580.0
bs0_3_7,22690693580.0
bs0_3_8,22842109580.0
bs0_3_9,23348845580.0
bs0_3_10,23389885580.0
bs0_3_11,23716477580.0
bs0_3_12,23653621580.0
bs0_3_13,23258341580.0
bs0_3_14,23417965580.0
bs0_3_15,22191085580.0
bs0_3_16,21887173580.0
bs0_3_17,20841301580.0
bs0_3_18,23379085580.0
bs0_3_19,23437405580.0
bs0_3_20,23180149580.0
bs0_3_21,23468941580.0
bs0_3_22,23376277580.0
bs0_3_23,23522077580.0
bs0_4_0,26326210195.0
bs0_4_1,26367557195.0
bs0_4_2,26538442195.0
bs0_4_3,26457660195.0
bs0_4_4,26454075195.0
bs0_4_5,26507372195.0
bs0_4_6,24153461195.0
bs0_4_7,25106832195.0
bs0_4_8,25274371195.0
bs0_4_9,25835065195.0
bs0_4_10,25880475195.0
bs0_4_11,26241843195.0
bs0_4_12,26172294195.0
bs0_4_13,25734924195.0
bs0_4_14,25911545195.0
bs0_4_15,24554025195.0
bs0_4_16,24217752195.0
bs0_4_17,23060514195.0
bs0_4_18,25868525195.0
bs0_4_19,25933055195.0
bs0_4_20,25648406195.0
bs0_4_21,25967949195.0
bs0_4_22,25865418195.0
bs0_4_23,26026743195.0
bs0_5_0,28859694810.0
bs0_5_1,28905020810.0
bs0_5_2,29092350810.0
bs0_5_3,29003794810.0
bs0_5_4,28999864810.0
bs0_5_5,29058290810.0
bs0_5_6,26477852810.0
bs0_5_7,27522970810.0
bs0_5_8,27706632810.0
bs0_5_9,28321284810.0
bs0_5_10,28371064810.0
bs0_5_11,28767208810.0
bs0_5_12,28690966810.0
bs0_5_13,28211506810.0
bs0_5_14,28405124810.0
bs0_5_15,26916964810.0
bs0_5_16,26548330810.0
bs0_5_17,25279726810.0
bs0_5_18,28357964810.0
bs0_5_19,28428704810.0
bs0_5_20,28116662810.0
bs0_5_21,28466956810.0
bs0_5_22,28354558810.0
bs0_5_23,28531408810.0
bs0_6_0,31393179425.0
bs0_6_1,31442484425.0
bs0_6_2,31646259425.0
bs0_6_3,31549929425.0
bs0_6_4,31545654425.0
bs0_6_5,31609209425.0
bs0_6_6,28802244425.0
bs0_6_7,29939109425.0
bs0_6_8,30138894425.0
bs0_6_9,30807504425.0
bs0_6_10,30861654425.0
bs0_6_11,31292574425.0
bs0_6_12,31209639425.0
bs0_6_13,30688089425.0
bs0_6_14,30898704425.0
bs0_6_15,29279904425.0
bs0_6_16,28878909425.0
bs0_6_17,27498939425.0
bs0_6_18,30847404425.0
bs0_6_19,30924354425.0
bs0_6_20,30584919425.0
bs0_6_21,30965964425.0
bs0_6_22,30843699425.0
bs0_6_23,31036074425.0
bs0_7_0,33926664040.0
bs0_7_1,33979948040.0
bs0_7_2,34200168040.0
bs0_7_3,34096064040.0
bs0_7_4,34091444040.0
bs0_7_5,34160128040.0
bs0_7_6,31126636040.0
bs0_7_7,32355248040.0
bs0_7_8,32571156040.0
bs0_7_9,33293724040.0
bs0_7_10,33352244040.0
bs0_7_11,33817940040.0
bs0_7_12,33728312040.0
bs0_7_13,33164672040.0
bs0_7_14,33392284040.0
bs0_7_15,31642844040.0
bs0_7_16,31209488040.0
bs0_7_17,29718152040.0
bs0_7_18,33336844040.0
bs0_7_19,33420004040.0
bs0_7_20,33053176040.0
bs0_7_21,33464972040.0
bs0_7_22,33332840040.0
bs0_7_23,33540740040.0
bs0_8_0,36460148655.0
bs0_8_1,36517411655.0
bs0_8_2,36754076655.0
