Variable,Value
b1_2_14,0.0
b1_2_15,-0.0
b1_2_16,-0.0
b1_2_17,-0.0
b1_2_18,-0.0
b1_2_19,-0.0
b1_2_20,-0.0
b1_2_21,-0.0
b1_2_22,-0.0
b1_2_23,-0.0
b1_3_0,-0.0
b1_3_1,-0.0
b1_3_2,-0.0
b1_3_3,-0.0
b1_3_4,-0.0
b1_3_5,-0.0
b1_3_6,-0.0
b1_3_7,-0.0
b1_3_8,-0.0
b1_3_9,-0.0
b1_3_10,0.0
b1_3_11,-0.0
b1_3_12,-0.0
b1_3_13,-0.0
b1_3_14,0.0
b1_3_15,-0.0
b1_3_16,-0.0
b1_3_17,-0.0
b1_3_18,-0.0
b1_3_19,-0.0
b1_3_20,-0.0
b1_3_21,-0.0
b1_3_22,-0.0
b1_3_23,-0.0
b1_4_0,-0.0
b1_4_1,-0.0
b1_4_2,-0.0
b1_4_3,-0.0
b1_4_4,-0.0
b1_4_5,-0.0
b1_4_6,-0.0
b1_4_7,-0.0
b1_4_8,-0.0
b1_4_9,-0.0
b1_4_10,0.0
b1_4_11,-0.0
b1_4_12,-0.0
b1_4_13,-0.0
b1_4_14,0.0
b1_4_15,-0.0
b1_4_16,-0.0
b1_4_17,-0.0
b1_4_18,-0.0
b1_4_19,-0.0
b1_4_20,-0.0
b1_4_21,-0.0
b1_4_22,-0.0
b1_4_23,-0.0
b1_5_0,-0.0
b1_5_1,-0.0
b1_5_2,-0.0
b1_5_3,-0.0
b1_5_4,-0.0
b1_5_5,-0.0
b1_5_6,-0.0
b1_5_7,-0.0
b1_5_8,-0.0
b1_5_9,-0.0
b1_5_10,0.0
b1_5_11,-0.0
b1_5_12,-0.0
b1_5_13,-0.0
b1_5_14,0.0
b1_5_15,-0.0
b1_5_16,-0.0
b1_5_17,-0.0
b1_5_18,-0.0
b1_5_19,-0.0
b1_5_20,-0.0
b1_5_21,-0.0
b1_5_22,-0.0
b1_5_23,-0.0
b1_6_0,-0.0
b1_6_1,-0.0
b1_6_2,-0.0
b1_6_3,-0.0
b1_6_4,-0.0
b1_6_5,0.0
b1_6_6,-0.0
b1_6_7,-0.0
b1_6_8,-0.0
b1_6_9,-0.0
b1_6_10,0.0
b1_6_11,-0.0
b1_6_12,-0.0
b1_6_13,-0.0
b1_6_14,0.0
b1_6_15,-0.0
b1_6_16,-0.0
b1_6_17,-0.0
b1_6_18,-0.0
b1_6_19,-0.0
b1_6_20,-0.0
b1_6_21,-0.0
b1_6_22,-0.0
b1_6_23,-0.0
b1_7_0,-0.0
b1_7_1,-0.0
b1_7_2,-0.0
b1_7_3,-0.0
b1_7_4,-0.0
b1_7_5,0.0
b1_7_6,-0.0
b1_7_7,-0.0
b1_7_8,-0.0
b1_7_9,-0.0
b1_7_10,0.0
b1_7_11,-0.0
b1_7_12,-0.0
b1_7_13,-0.0
b1_7_14,0.0
b1_7_15,-0.0
b1_7_16,-0.0
b1_7_17,-0.0
b1_7_18,-0.0
b1_7_19,-0.0
b1_7_20,-0.0
b1_7_21,-0.0
b1_7_22,-0.0
b1_7_23,-0.0
b1_8_0,-0.0
b1_8_1,-0.0
b1_8_2,-0.0
b1_8_3,-0.0
b1_8_4,-0.0
b1_8_5,0.0
b1_8_6,-0.0
b1_8_7,-0.0
b1_8_8,-0.0
b1_8_9,-0.0
b1_8_10,0.0
b1_8_11,-0.0
b1_8_12,-0.0
b1_8_13,-0.0
b1_8_14,0.0
b1_8_15,-0.0
b1_8_16,-0.0
b1_8_17,-0.0
b1_8_18,-0.0
b1_8_19,-0.0
b1_8_20,-0.0
b1_8_21,-0.0
b1_8_22,-0.0
b1_8_23,-0.0
b1_9_0,-0.0
b1_9_1,-0.0
b1_9_2,-0.0
b1_9_3,-0.0
b1_9_4,-0.0
b1_9_5,0.0
b1_9_6,-0.0
b1_9_7,-0.0
b1_9_8,-0.0
b1_9_9,-0.0
b1_9_10,0.0
b1_9_11,-0.0
b1_9_12,-0.0
b1_9_13,-0.0
b1_9_14,0.0
b1_9_15,1.0
b1_9_16,-0.0
b1_9_17,-0.0
b1_9_18,-0.0
b1_9_19,-0.0
b1_9_20,-0.0
b1_9_21,-0.0
b1_9_22,-0.0
b1_9_23,-0.0
b1_10_0,-0.0
b1_10_1,-0.0
b1_10_2,-0.0
b1_10_3,0.0
b1_10_4,-0.0
b1_10_5,0.0
b1_10_6,0.0
b1_10_7,0.0
b1_10_8,-0.0
b1_10_9,0.0
b1_10_10,0.0
b1_10_11,-0.0
b1_10_12,-0.0
b1_10_13,0.0
b1_10_14,0.0
b1_10_15,0.0
b1_10_16,0.0
b1_10_17,-0.0
b1_10_18,-0.0
b1_10_19,0.0
b1_10_20,-0.0
b1_10_21,-0.0
b1_10_22,0.0
b1_10_23,-0.0
b2_1_0,-0.0
b2_1_1,-0.0
b2_1_2,-0.0
b2_1_3,-0.0
b2_1_4,-0.0
b2_1_5,0.0
b2_1_6,-0.0
b2_1_7,-0.0
b2_1_8,-0.0
b2_1_9,-0.0
b2_1_10,0.0
b2_1_11,-0.0
b2_1_12,-0.0
b2_1_13,-0.0
b2_1_14,0.0
b2_1_15,-0.0
b2_1_16,-0.0
b2_1_17,-0.0
b2_1_18,-0.0
b2_1_19,-0.0
b2_1_20,-0.0
b2_1_21,-0.0
b2_1_22,-0.0
b2_1_23,-0.0
b2_2_0,-0.0
b2_2_1,-0.0
b2_2_2,-0.0
b2_2_3,-0.0
b2_2_4,-0.0
b2_2_5,0.0
b2_2_6,-0.0
b2_2_7,-0.0
b2_2_8,-0.0
b2_2_9,-0.0
b2_2_10,0.0
b2_2_11,-0.0
b2_2_12,-0.0
b2_2_13,-0.0
b2_2_14,0.0
b2_2_15,-0.0
b2_2_16,-0.0
b2_2_17,-0.0
b2_2_18,-0.0
b2_2_19,-0.0
b2_2_20,-0.0
b2_2_21,-0.0
b2_2_22,-0.0
b2_2_23,-0.0
b2_3_0,-0.0
b2_3_1,-0.0
b2_3_2,-0.0
b2_3_3,-0.0
b2_3_4,-0.0
b2_3_5,0.0
b2_3_6,-0.0
b2_3_7,-0.0
b2_3_8,-0.0
b2_3_9,-0.0
b2_3_10,0.0
b2_3_11,-0.0
b2_3_12,-0.0
b2_3_13,-0.0
b2_3_14,0.0
b2_3_15,-0.0
b2_3_16,-0.0
b2_3_17,-0.0
b2_3_18,-0.0
b2_3_19,-0.0
b2_3_20,-0.0
b2_3_21,-0.0
b2_3_22,-0.0
b2_3_23,-0.0
b2_4_0,0.0
b2_4_1,-0.0
b2_4_2,-0.0
b2_4_3,-0.0
b2_4_4,-0.0
b2_4_5,0.0
b2_4_6,-0.0
b2_4_7,-0.0
b2_4_8,-0.0
b2_4_9,-0.0
b2_4_10,0.0
b2_4_11,-0.0
b2_4_12,-0.0
b2_4_13,-0.0
b2_4_14,0.0
b2_4_15,-0.0
b2_4_16,-0.0
b2_4_17,-0.0
b2_4_18,-0.0
b2_4_19,-0.0
b2_4_20,-0.0
b2_4_21,-0.0
b2_4_22,-0.0
b2_4_23,-0.0
b2_5_0,0.0
b2_5_1,-0.0
b2_5_2,0.0
b2_5_3,-0.0
b2_5_4,0.0
b2_5_5,0.0
b2_5_6,-0.0
b2_5_7,-0.0
b2_5_8,-0.0
b2_5_9,-0.0
b2_5_10,0.0
b2_5_11,-0.0
b2_5_12,-0.0
b2_5_13,-0.0
b2_5_14,0.0
b2_5_15,-0.0
b2_5_16,-0.0
b2_5_17,-0.0
b2_5_18,-0.0
b2_5_19,-0.0
b2_5_20,-0.0
b2_5_21,-0.0
b2_5_22,-0.0
b2_5_23,-0.0
b2_6_0,0.0
b2_6_1,-0.0
b2_6_2,0.0
b2_6_3,-0.0
b2_6_4,0.0
b2_6_5,0.0
b2_6_6,-0.0
b2_6_7,-0.0
b2_6_8,-0.0
b2_6_9,-0.0
b2_6_10,0.0
b2_6_11,-0.0
b2_6_12,-0.0
b2_6_13,-0.0
b2_6_14,0.0
b2_6_15,-0.0
b2_6_16,-0.0
b2_6_17,-0.0
b2_6_18,-0.0
b2_6_19,-0.0
b2_6_20,-0.0
b2_6_21,-0.0
b2_6_22,-0.0
b2_6_23,-0.0
b2_7_0,0.0
b2_7_1,0.0
b2_7_2,0.0
b2_7_3,0.0
b2_7_4,0.0
b2_7_5,0.0
b2_7_6,-0.0
b2_7_7,-0.0
b2_7_8,-0.0
b2_7_9,-0.0
b2_7_10,0.0
b2_7_11,0.0
b2_7_12,-0.0
b2_7_13,-0.0
b2_7_14,0.0
b2_7_15,-0.0
b2_7_16,-0.0
b2_7_17,-0.0
b2_7_18,-0.0
b2_7_19,0.0
b2_7_20,-0.0
b2_7_21,-0.0
b2_7_22,-0.0
b2_7_23,-0.0
b2_8_0,0.0
b2_8_1,0.0
b2_8_2,0.0
b2_8_3,0.0
b2_8_4,0.0
b2_8_5,0.0
b2_8_6,-0.0
b2_8_7,-0.0
b2_8_8,-0.0
b2_8_9,-0.0
b2_8_10,0.0
b2_8_11,0.0
b2_8_12,-0.0
b2_8_13,-0.0
b2_8_14,0.0
b2_8_15,-0.0
b2_8_16,-0.0
b2_8_17,-0.0
b2_8_18,0.0
b2_8_19,0.0
b2_8_20,-0.0
b2_8_21,-0.0
b2_8_22,0.0
b2_8_23,0.0
b2_9_0,0.0
b2_9_1,0.0
b2_9_2,0.0
b2_9_3,0.0
b2_9_4,0.0
b2_9_5,0.0
b2_9_6,-0.0
b2_9_7,-0.0
b2_9_8,-0.0
b2_9_9,-0.0
b2_9_10,0.0
b2_9_11,0.0
b2_9_12,-0.0
b2_9_13,-0.0
b2_9_14,0.0
b2_9_15,-0.0
b2_9_16,-0.0
b2_9_17,-0.0
b2_9_18,0.0
b2_9_19,0.0
b2_9_20,-0.0
b2_9_21,-0.0
b2_9_22,0.0
b2_9_23,0.0
b2_10_0,0.0
b2_10_1,0.0
b2_10_2,0.0
b2_10_3,0.0
b2_10_4,0.0
b2_10_5,0.0
b2_10_6,-0.0
b2_10_7,-0.0
b2_10_8,-0.0
b2_10_9,-0.0
b2_10_10,0.0
b2_10_11,0.0
b2_10_12,-0.0
b2_10_13,0.0
b2_10_14,0.0
b2_10_15,-0.0
b2_10_16,-0.0
b2_10_17,-0.0
b2_10_18,0.0
b2_10_19,0.0
b2_10_20,-0.0
b2_10_21,-0.0
b2_10_22,0.0
b2_10_23,0.0
b3_1_0,0.0
b3_1_1,-0.0
b3_1_2,-0.0
b3_1_3,-0.0
b3_1_4,-0.0
b3_1_5,0.0
b3_1_6,-0.0
b3_1_7,-0.0
b3_1_8,-0.0
b3_1_9,-0.0
b3_1_10,0.0
b3_1_11,-0.0
b3_1_12,-0.0
b3_1_13,-0.0
b3_1_14,0.0
b3_1_15,-0.0
b3_1_16,-0.0
b3_1_17,-0.0
b3_1_18,-0.0
b3_1_19,-0.0
b3_1_20,-0.0
b3_1_21,-0.0
b3_1_22,-0.0
b3_1_23,-0.0
b3_2_0,0.0
b3_2_1,-0.0
b3_2_2,0.0
b3_2_3,-0.0
b3_2_4,0.0
b3_2_5,0.0
b3_2_6,-0.0
b3_2_7,-0.0
b3_2_8,-0.0
b3_2_9,-0.0
b3_2_10,0.0
b3_2_11,-0.0
b3_2_12,-0.0
b3_2_13,-0.0
b3_2_14,0.0
b3_2_15,-0.0
b3_2_16,-0.0
b3_2_17,-0.0
b3_2_18,-0.0
b3_2_19,-0.0
b3_2_20,-0.0
b3_2_21,-0.0
b3_2_22,-0.0
b3_2_23,-0.0
b3_3_0,0.0
b3_3_1,0.0
b3_3_2,0.0
b3_3_3,0.0
b3_3_4,0.0
b3_3_5,0.0
b3_3_6,-0.0
b3_3_7,-0.0
b3_3_8,-0.0
b3_3_9,-0.0
b3_3_10,0.0
b3_3_11,0.0
b3_3_12,-0.0
b3_3_13,-0.0
b3_3_14,0.0
b3_3_15,-0.0
b3_3_16,-0.0
b3_3_17,-0.0
b3_3_18,-0.0
b3_3_19,0.0
b3_3_20,-0.0
b3_3_21,-0.0
b3_3_22,-0.0
b3_3_23,-0.0
b3_4_0,0.0
b3_4_1,0.0
b3_4_2,0.0
b3_4_3,0.0
b3_4_4,0.0
b3_4_5,0.0
b3_4_6,-0.0
b3_4_7,-0.0
b3_4_8,-0.0
b3_4_9,-0.0
b3_4_10,0.0
b3_4_11,0.0
b3_4_12,-0.0
b3_4_13,-0.0
b3_4_14,0.0
b3_4_15,-0.0
b3_4_16,-0.0
b3_4_17,-0.0
b3_4_18,0.0
b3_4_19,0.0
b3_4_20,-0.0
b3_4_21,-0.0
b3_4_22,0.0
b3_4_23,0.0
b3_5_0,0.0
b3_5_1,0.0
b3_5_2,0.0
b3_5_3,0.0
b3_5_4,0.0
b3_5_5,0.0
b3_5_6,-0.0
b3_5_7,-0.0
b3_5_8,-0.0
b3_5_9,-0.0
b3_5_10,0.0
b3_5_11,0.0
b3_5_12,-0.0
b3_5_13,0.0
b3_5_14,0.0
b3_5_15,-0.0
b3_5_16,-0.0
b3_5_17,-0.0
b3_5_18,0.0
b3_5_19,0.0
b3_5_20,-0.0
b3_5_21,-0.0
b3_5_22,0.0
b3_5_23,0.0
b3_6_0,0.0
b3_6_1,0.0
b3_6_2,0.0
b3_6_3,0.0
b3_6_4,0.0
b3_6_5,0.0
b3_6_6,-0.0
b3_6_7,-0.0
b3_6_8,0.0
b3_6_9,0.0
b3_6_10,0.0
b3_6_11,0.0
b3_6_12,0.0
b3_6_13,0.0
b3_6_14,0.0
b3_6_15,-0.0
b3_6_16,-0.0
b3_6_17,-0.0
b3_6_18,0.0
b3_6_19,0.0
b3_6_20,0.0
b3_6_21,0.0
b3_6_22,0.0
b3_6_23,0.0
b3_7_0,0.0
b3_7_1,0.0
b3_7_2,0.0
b3_7_3,0.0
b3_7_4,0.0
b3_7_5,0.0
b3_7_6,-0.0
b3_7_7,-0.0
b3_7_8,-0.0
b3_7_9,0.0
b3_7_10,0.0
b3_7_11,0.0
b3_7_12,0.0
b3_7_13,0.0
b3_7_14,0.0
b3_7_15,-0.0
b3_7_16,-0.0
b3_7_17,-0.0
b3_7_18,0.0
b3_7_19,0.0
b3_7_20,0.0
b3_7_21,0.0
b3_7_22,0.0
b3_7_23,0.0
b3_8_0,0.0
b3_8_1,0.0
b3_8_2,0.0
b3_8_3,0.0
b3_8_4,0.0
b3_8_5,0.0
b3_8_6,-0.0
b3_8_7,-0.0
b3_8_8,-0.0
b3_8_9,0.0
b3_8_10,0.0
b3_8_11,0.0
b3_8_12,0.0
b3_8_13,0.0
b3_8_14,0.0
b3_8_15,-0.0
b3_8_16,0.0
b3_8_17,-0.0
b3_8_18,0.0
b3_8_19,0.0
b3_8_20,0.0
b3_8_21,0.0
b3_8_22,0.0
b3_8_23,0.0
b3_9_0,0.0
b3_9_1,0.0
b3_9_2,0.0
b3_9_3,0.0
b3_9_4,0.0
b3_9_5,0.0
b3_9_6,0.0
b3_9_7,0.0
b3_9_8,0.0
b3_9_9,0.0
b3_9_10,0.0
b3_9_11,0.0
b3_9_12,0.0
b3_9_13,0.0
b3_9_14,0.0
b3_9_15,0.0
b3_9_16,-0.0
b3_9_17,1.0
b3_9_18,0.0
b3_9_19,0.0
b3_9_20,0.0
b3_9_21,0.0
b3_9_22,0.0
b3_9_23,0.0
b3_10_0,0.0
b3_10_1,0.0
b3_10_2,0.0
b3_10_3,0.0
b3_10_4,0.0
b3_10_5,0.0
b3_10_6,-0.0
b3_10_7,-0.0
b3_10_8,0.0
b3_10_9,0.0
b3_10_10,0.0
b3_10_11,0.0
b3_10_12,0.0
b3_10_13,0.0
b3_10_14,0.0
b3_10_15,1.0
b3_10_16,1.0
b3_10_17,-0.0
b3_10_18,0.0
b3_10_19,0.0
b3_10_20,0.0
b3_10_21,0.0
b3_10_22,0.0
b3_10_23,0.0
b4_1_0,0.0
b4_1_1,0.0
b4_1_2,0.0
b4_1_3,0.0
b4_1_4,0.0
b4_1_5,0.0
b4_1_6,-0.0
b4_1_7,-0.0
b4_1_8,0.0
b4_1_9,0.0
b4_1_10,0.0
b4_1_11,0.0
b4_1_12,0.0
b4_1_13,0.0
b4_1_14,0.0
b4_1_15,-0.0
b4_1_16,-0.0
b4_1_17,-0.0
b4_1_18,0.0
b4_1_19,0.0
b4_1_20,0.0
b4_1_21,0.0
b4_1_22,0.0
b4_1_23,0.0
b4_2_0,0.0
b4_2_1,0.0
b4_2_2,0.0
b4_2_3,0.0
b4_2_4,0.0
b4_2_5,0.0
b4_2_6,-0.0
b4_2_7,-0.0
b4_2_8,0.0
b4_2_9,0.0
b4_2_10,0.0
b4_2_11,0.0
b4_2_12,0.0
b4_2_13,0.0
b4_2_14,0.0
b4_2_15,-0.0
b4_2_16,-0.0
b4_2_17,-0.0
b4_2_18,0.0
b4_2_19,0.0
b4_2_20,0.0
b4_2_21,0.0
b4_2_22,0.0
b4_2_23,0.0
b4_3_0,0.0
b4_3_1,0.0
b4_3_2,0.0
b4_3_3,0.0
b4_3_4,0.0
b4_3_5,0.0
b4_3_6,-0.0
b4_3_7,-0.0
b4_3_8,0.0
b4_3_9,0.0
b4_3_10,0.0
b4_3_11,0.0
b4_3_12,0.0
b4_3_13,0.0
b4_3_14,0.0
b4_3_15,-0.0
b4_3_16,-0.0
b4_3_17,-0.0
b4_3_18,0.0
b4_3_19,0.0
b4_3_20,0.0
b4_3_21,0.0
b4_3_22,0.0
b4_3_23,0.0
b4_4_0,0.0
b4_4_1,0.0
b4_4_2,0.0
b4_4_3,0.0
b4_4_4,0.0
b4_4_5,0.0
b4_4_6,-0.0
b4_4_7,-0.0
b4_4_8,0.0
b4_4_9,0.0
b4_4_10,0.0
b4_4_11,0.0
b4_4_12,0.0
b4_4_13,0.0
b4_4_14,0.0
b4_4_15,-0.0
b4_4_16,-0.0
b4_4_17,-0.0
b4_4_18,0.0
b4_4_19,0.0
b4_4_20,0.0
b4_4_21,0.0
b4_4_22,0.0
b4_4_23,0.0
b4_5_0,0.0
b4_5_1,0.0
b4_5_2,0.0
b4_5_3,0.0
b4_5_4,0.0
b4_5_5,0.0
b4_5_6,0.0
b4_5_7,0.0
b4_5_8,0.0
b4_5_9,0.0
b4_5_10,0.0
b4_5_11,0.0
b4_5_12,0.0
b4_5_13,0.0
b4_5_14,0.0
b4_5_15,-0.0
b4_5_16,-0.0
b4_5_17,-0.0
b4_5_18,0.0
b4_5_19,0.0
b4_5_20,0.0
b4_5_21,0.0
b4_5_22,0.0
b4_5_23,0.0
b4_6_0,0.0
b4_6_1,0.0
b4_6_2,0.0
b4_6_3,0.0
b4_6_4,0.0
b4_6_5,0.0
b4_6_6,0.0
b4_6_7,0.0
b4_6_8,0.0
b4_6_9,0.0
b4_6_10,0.0
b4_6_11,0.0
b4_6_12,0.0
b4_6_13,0.0
b4_6_14,0.0
b4_6_15,-0.0
b4_6_16,-0.0
b4_6_17,-0.0
b4_6_18,0.0
b4_6_19,0.0
b4_6_20,0.0
b4_6_21,0.0
b4_6_22,0.0
b4_6_23,0.0
b4_7_0,0.0
b4_7_1,0.0
b4_7_2,0.0
b4_7_3,0.0
b4_7_4,0.0
b4_7_5,0.0
b4_7_6,0.0
b4_7_7,0.0
b4_7_8,0.0
b4_7_9,0.0
b4_7_10,0.0
b4_7_11,0.0
b4_7_12,0.0
b4_7_13,0.0
b4_7_14,0.0
b4_7_15,-0.0
b4_7_16,-0.0
b4_7_17,-0.0
b4_7_18,0.0
b4_7_19,0.0
b4_7_20,0.0
b4_7_21,0.0
b4_7_22,0.0
b4_7_23,0.0
b4_8_0,0.0
b4_8_1,0.0
b4_8_2,0.0
b4_8_3,0.0
b4_8_4,0.0
b4_8_5,0.0
b4_8_6,0.0
b4_8_7,0.0
b4_8_8,0.0
b4_8_9,0.0
b4_8_10,0.0
b4_8_11,0.0
b4_8_12,0.0
b4_8_13,0.0
b4_8_14,0.0
b4_8_15,-0.0
b4_8_16,-0.0
b4_8_17,-0.0
b4_8_18,0.0
b4_8_19,0.0
b4_8_20,0.0
b4_8_21,0.0
b4_8_22,0.0
b4_8_23,0.0
b4_9_0,0.0
b4_9_1,0.0
b4_9_2,0.0
b4_9_3,0.0
b4_9_4,0.0
b4_9_5,0.0
b4_9_6,0.0
b4_9_7,0.0
b4_9_8,0.0
b4_9_9,0.0
b4_9_10,0.0
b4_9_11,0.0
b4_9_12,0.0
b4_9_13,0.0
b4_9_14,0.0
b4_9_15,-0.0
b4_9_16,-0.0
b4_9_17,-0.0
b4_9_18,0.0
b4_9_19,0.0
b4_9_20,0.0
b4_9_21,0.0
b4_9_22,0.0
b4_9_23,0.0
b4_10_0,0.0
b4_10_1,0.0
b4_10_2,0.0
b4_10_3,0.0
b4_10_4,0.0
b4_10_5,0.0
b4_10_6,0.0
b4_10_7,0.0
b4_10_8,0.0
b4_10_9,0.0
b4_10_10,0.0
b4_10_11,0.0
b4_10_12,0.0
b4_10_13,0.0
b4_10_14,0.0
b4_10_15,0.0
b4_10_16,-0.0
b4_10_17,-0.0
b4_10_18,0.0
b4_10_19,0.0
b4_10_20,0.0
b4_10_21,0.0
b4_10_22,0.0
b4_10_23,0.0
