,Value
bs0_1_0,18748706350.0
bs0_1_1,18639906350.0
bs0_1_2,18694646350.0
bs0_1_3,18791376350.0
bs0_1_4,18879266350.0
bs0_1_5,18685466350.0
bs0_1_6,17022866350.0
bs0_1_7,17637246350.0
bs0_1_8,17490026350.0
bs0_1_9,18396466350.0
bs0_1_10,18318776350.0
bs0_1_11,18347336350.0
bs0_1_12,18643136350.0
bs0_1_13,18305516350.0
bs0_1_14,18507476350.0
bs0_1_15,17164306350.0
bs0_1_16,16652096350.0
bs0_1_17,17561766350.0
bs0_1_18,18209806350.0
bs0_1_19,18461576350.0
bs0_1_20,18360426350.0
bs0_1_21,18290046350.0
bs0_1_22,18574456350.0
bs0_1_23,18241936350.0
bs0_2_0,21285295965.0
bs0_2_1,21161775965.0
bs0_2_2,21223921965.0
bs0_2_3,21333738965.0
bs0_2_4,21433519965.0
bs0_2_5,21213499965.0
bs0_2_6,19325959965.0
bs0_2_7,20023461965.0
bs0_2_8,19856323965.0
bs0_2_9,20885399965.0
bs0_2_10,20797198965.0
bs0_2_11,20829622965.0
bs0_2_12,21165442965.0
bs0_2_13,20782144965.0
bs0_2_14,21011428965.0
bs0_2_15,19486535965.0
bs0_2_16,18905026965.0
bs0_2_17,19937769965.0
bs0_2_18,20673485965.0
bs0_2_19,20959318965.0
bs0_2_20,20844483965.0
bs0_2_21,20764581965.0
bs0_2_22,21087470965.0
bs0_2_23,20709962965.0
bs0_3_0,23821885580.0
bs0_3_1,23683645580.0
bs0_3_2,23753197580.0
bs0_3_3,23876101580.0
bs0_3_4,23987773580.0
bs0_3_5,23741533580.0
bs0_3_6,21629053580.0
bs0_3_7,22409677580.0
bs0_3_8,22222621580.0
bs0_3_9,23374333580.0
bs0_3_10,23275621580.0
bs0_3_11,23311909580.0
bs0_3_12,23687749580.0
bs0_3_13,23258773580.0
bs0_3_14,23515381580.0
bs0_3_15,21808765580.0
bs0_3_16,21157957580.0
bs0_3_17,22313773580.0
bs0_3_18,23137165580.0
bs0_3_19,23457061580.0
bs0_3_20,23328541580.0
bs0_3_21,23239117580.0
bs0_3_22,23600485580.0
bs0_3_23,23177989580.0
bs0_4_0,26358475195.0
bs0_4_1,26205515195.0
bs0_4_2,26282473195.0
bs0_4_3,26418464195.0
bs0_4_4,26542027195.0
bs0_4_5,26269567195.0
bs0_4_6,23932147195.0
bs0_4_7,24795893195.0
bs0_4_8,24588919195.0
bs0_4_9,25863267195.0
bs0_4_10,25754044195.0
bs0_4_11,25794196195.0
bs0_4_12,26210056195.0
bs0_4_13,25735402195.0
bs0_4_14,26019334195.0
bs0_4_15,24130995195.0
bs0_4_16,23410888195.0
bs0_4_17,24689777195.0
bs0_4_18,25600845195.0
bs0_4_19,25954804195.0
bs0_4_20,25812599195.0
bs0_4_21,25713653195.0
bs0_4_22,26113500195.0
bs0_4_23,25646016195.0
bs0_5_0,28895064810.0
bs0_5_1,28727384810.0
bs0_5_2,28811748810.0
bs0_5_3,28960826810.0
bs0_5_4,29096280810.0
bs0_5_5,28797600810.0
bs0_5_6,26235240810.0
bs0_5_7,27182108810.0
bs0_5_8,26955216810.0
bs0_5_9,28352200810.0
bs0_5_10,28232466810.0
bs0_5_11,28276482810.0
bs0_5_12,28732362810.0
bs0_5_13,28212030810.0
bs0_5_14,28523286810.0
bs0_5_15,26453224810.0
bs0_5_16,25663818810.0
bs0_5_17,27065780810.0
bs0_5_18,28064524810.0
bs0_5_19,28452546810.0
bs0_5_20,28296656810.0
bs0_5_21,28188188810.0
bs0_5_22,28626514810.0
bs0_5_23,28114042810.0
bs0_6_0,31431654425.0
bs0_6_1,31249254425.0
bs0_6_2,31341024425.0
bs0_6_3,31503189425.0
bs0_6_4,31650534425.0
bs0_6_5,31325634425.0
bs0_6_6,28538334425.0
bs0_6_7,29568324425.0
bs0_6_8,29321514425.0
bs0_6_9,30841134425.0
bs0_6_10,30710889425.0
bs0_6_11,30758769425.0
bs0_6_12,31254669425.0
bs0_6_13,30688659425.0
bs0_6_14,31027239425.0
bs0_6_15,28775454425.0
bs0_6_16,27916749425.0
bs0_6_17,29441784425.0
bs0_6_18,30528204425.0
bs0_6_19,30950289425.0
bs0_6_20,30780714425.0
bs0_6_21,30662724425.0
bs0_6_22,31139529425.0
bs0_6_23,30582069425.0
bs0_7_0,33968244040.0
bs0_7_1,33771124040.0
bs0_7_2,33870300040.0
bs0_7_3,34045552040.0
bs0_7_4,34204788040.0
bs0_7_5,33853668040.0
bs0_7_6,30841428040.0
bs0_7_7,31954540040.0
bs0_7_8,31687812040.0
bs0_7_9,33330068040.0
bs0_7_10,33189312040.0
bs0_7_11,33241056040.0
bs0_7_12,33776976040.0
bs0_7_13,33165288040.0
bs0_7_14,33531192040.0
bs0_7_15,31097684040.0
bs0_7_16,30169680040.0
bs0_7_17,31817788040.0
bs0_7_18,32991884040.0
bs0_7_19,33448032040.0
bs0_7_20,33264772040.0
bs0_7_21,33137260040.0
bs0_7_22,33652544040.0
bs0_7_23,33050096040.0
bs0_8_0,36504833655.0
bs0_8_1,36292993655.0
bs0_8_2,36399575655.0
bs0_8_3,36587914655.0
bs0_8_4,36759041655.0
bs0_8_5,36381701655.0
bs0_8_6,33144521655.0
bs0_8_7,34340755655.0
bs0_8_8,34054109655.0
bs0_8_9,35819001655.0
bs0_8_10,35667734655.0
bs0_8_11,35723342655.0
bs0_8_12,36299282655.0
bs0_8_13,35641916655.0
bs0_8_14,36035144655.0
bs0_8_15,33419913655.0
bs0_8_16,32422610655.0
bs0_8_17,34193791655.0
bs0_8_18,35455563655.0
bs0_8_19,35945774655.0
bs0_8_20,35748829655.0
bs0_8_21,35611795655.0
bs0_8_22,36165558655.0
bs0_8_23,35518122655.0
bs0_9_0,39041423270.0
bs0_9_1,38814863270.0
bs0_9_2,38928851270.0
bs0_9_3,39130277270.0
bs0_9_4,39313295270.0
bs0_9_5,38909735270.0
bs0_9_6,35447615270.0
bs0_9_7,36726971270.0
bs0_9_8,36420407270.0
bs0_9_9,38307935270.0
bs0_9_10,38146157270.0
bs0_9_11,38205629270.0
bs0_9_12,38821589270.0
bs0_9_13,38118545270.0
bs0_9_14,38539097270.0
bs0_9_15,35742143270.0
bs0_9_16,34675541270.0
bs0_9_17,36569795270.0
bs0_9_18,37919243270.0
bs0_9_19,38443517270.0
bs0_9_20,38232887270.0
bs0_9_21,38086331270.0
bs0_9_22,38678573270.0
bs0_9_23,37986149270.0
bs0_10_0,41578012885.0
bs0_10_1,41336732885.0
bs0_10_2,41458126885.0
bs0_10_3,41672639885.0
bs0_10_4,41867548885.0
bs0_10_5,41437768885.0
bs0_10_6,37750708885.0
bs0_10_7,39113186885.0
bs0_10_8,38786704885.0
bs0_10_9,40796868885.0
bs0_10_10,40624579885.0
bs0_10_11,40687915885.0
bs0_10_12,41343895885.0
bs0_10_13,40595173885.0
bs0_10_14,41043049885.0
bs0_10_15,38064372885.0
bs0_10_16,36928471885.0
bs0_10_17,38945798885.0
bs0_10_18,40382922885.0
bs0_10_19,40941259885.0
bs0_10_20,40716944885.0
bs0_10_21,40560866885.0
bs0_10_22,41191587885.0
bs0_10_23,40454175885.0
bs1_1_0,27571627112.5
bs1_1_1,27411627112.5
bs1_1_2,27492127112.5
