,Value
bs0_1_0,18715046350.0
bs0_1_1,18873656350.0
bs0_1_2,18661496350.0
bs0_1_3,18742416350.0
bs0_1_4,18808036350.0
bs0_1_5,18685296350.0
bs0_1_6,17583186350.0
bs0_1_7,17596956350.0
bs0_1_8,17711536350.0
bs0_1_9,18472796350.0
bs0_1_10,18328466350.0
bs0_1_11,18528216350.0
bs0_1_12,18329996350.0
bs0_1_13,18412956350.0
bs0_1_14,18394426350.0
bs0_1_15,16910666350.0
bs0_1_16,16741516350.0
bs0_1_17,16960646350.0
bs0_1_18,18511216350.0
bs0_1_19,18337476350.0
bs0_1_20,18553376350.0
bs0_1_21,18426046350.0
bs0_1_22,18469396350.0
bs0_1_23,18552356350.0
bs0_2_0,21247081965.0
bs0_2_1,21427150965.0
bs0_2_2,21186286965.0
bs0_2_3,21278154965.0
bs0_2_4,21352652965.0
bs0_2_5,21213306965.0
bs0_2_6,19962087965.0
bs0_2_7,19977720965.0
bs0_2_8,20107802965.0
bs0_2_9,20972056965.0
bs0_2_10,20808199965.0
bs0_2_11,21034974965.0
bs0_2_12,20809936965.0
bs0_2_13,20904120965.0
bs0_2_14,20883083965.0
bs0_2_15,19198579965.0
bs0_2_16,19006544965.0
bs0_2_17,19255321965.0
bs0_2_18,21015674965.0
bs0_2_19,20818428965.0
bs0_2_20,21063538965.0
bs0_2_21,20918981965.0
bs0_2_22,20968196965.0
bs0_2_23,21062380965.0
bs0_3_0,23779117580.0
bs0_3_1,23980645580.0
bs0_3_2,23711077580.0
bs0_3_3,23813893580.0
bs0_3_4,23897269580.0
bs0_3_5,23741317580.0
bs0_3_6,22340989580.0
bs0_3_7,22358485580.0
bs0_3_8,22504069580.0
bs0_3_9,23471317580.0
bs0_3_10,23287933580.0
bs0_3_11,23541733580.0
bs0_3_12,23289877580.0
bs0_3_13,23395285580.0
bs0_3_14,23371741580.0
bs0_3_15,21486493580.0
bs0_3_16,21271573580.0
bs0_3_17,21549997580.0
bs0_3_18,23520133580.0
bs0_3_19,23299381580.0
bs0_3_20,23573701580.0
bs0_3_21,23411917580.0
bs0_3_22,23466997580.0
bs0_3_23,23572405580.0
bs0_4_0,26311153195.0
bs0_4_1,26534140195.0
bs0_4_2,26235868195.0
bs0_4_3,26349632195.0
bs0_4_4,26441886195.0
bs0_4_5,26269328195.0
bs0_4_6,24719891195.0
bs0_4_7,24739250195.0
bs0_4_8,24900336195.0
bs0_4_9,25970578195.0
bs0_4_10,25767667195.0
bs0_4_11,26048492195.0
bs0_4_12,25769818195.0
bs0_4_13,25886450195.0
bs0_4_14,25860399195.0
bs0_4_15,23774407195.0
bs0_4_16,23536602195.0
bs0_4_17,23844673195.0
bs0_4_18,26024592195.0
bs0_4_19,25780334195.0
bs0_4_20,26083864195.0
bs0_4_21,25904853195.0
bs0_4_22,25965798195.0
bs0_4_23,26082430195.0
bs0_5_0,28843188810.0
bs0_5_1,29087634810.0
bs0_5_2,28760658810.0
bs0_5_3,28885370810.0
bs0_5_4,28986502810.0
bs0_5_5,28797338810.0
bs0_5_6,27098792810.0
bs0_5_7,27120014810.0
bs0_5_8,27296602810.0
bs0_5_9,28469838810.0
bs0_5_10,28247400810.0
bs0_5_11,28555250810.0
bs0_5_12,28249758810.0
bs0_5_13,28377614810.0
bs0_5_14,28349056810.0
bs0_5_15,26062320810.0
bs0_5_16,25801630810.0
bs0_5_17,26139348810.0
bs0_5_18,28529050810.0
bs0_5_19,28261286810.0
bs0_5_20,28594026810.0
bs0_5_21,28397788810.0
bs0_5_22,28464598810.0
bs0_5_23,28592454810.0
bs0_6_0,31375224425.0
bs0_6_1,31641129425.0
bs0_6_2,31285449425.0
bs0_6_3,31421109425.0
bs0_6_4,31531119425.0
bs0_6_5,31325349425.0
bs0_6_6,29477694425.0
bs0_6_7,29500779425.0
bs0_6_8,29692869425.0
bs0_6_9,30969099425.0
bs0_6_10,30727134425.0
bs0_6_11,31062009425.0
bs0_6_12,30729699425.0
bs0_6_13,30868779425.0
bs0_6_14,30837714425.0
