,Value
bs0_1_0,18632426350.0
bs0_1_1,18762986350.0
bs0_1_2,18692096350.0
bs0_1_3,18711816350.0
bs0_1_4,18855636350.0
bs0_1_5,18838806350.0
bs0_1_6,17414036350.0
bs0_1_7,17804866350.0
bs0_1_8,17242166350.0
bs0_1_9,18417376350.0
bs0_1_10,18655886350.0
bs0_1_11,18542666350.0
bs0_1_12,18530766350.0
bs0_1_13,18322686350.0
bs0_1_14,18315886350.0
bs0_1_15,16762086350.0
bs0_1_16,16969826350.0
bs0_1_17,16314476350.0
bs0_1_18,18306536350.0
bs0_1_19,18192636350.0
bs0_1_20,18267606350.0
bs0_1_21,18272876350.0
bs0_1_22,18394766350.0
bs0_1_23,18398676350.0
bs0_2_0,21153283965.0
bs0_2_1,21301507965.0
bs0_2_2,21221026965.0
bs0_2_3,21243414965.0
bs0_2_4,21406692965.0
bs0_2_5,21387585965.0
bs0_2_6,19770052965.0
bs0_2_7,20213759965.0
bs0_2_8,19574929965.0
bs0_2_9,20909138965.0
bs0_2_10,21179917965.0
bs0_2_11,21051379965.0
bs0_2_12,21037869965.0
bs0_2_13,20801637965.0
bs0_2_14,20793917965.0
bs0_2_15,19029897965.0
bs0_2_16,19265743965.0
bs0_2_17,18521728965.0
bs0_2_18,20783302965.0
bs0_2_19,20653992965.0
bs0_2_20,20739105965.0
bs0_2_21,20745088965.0
bs0_2_22,20883469965.0
bs0_2_23,20887908965.0
bs0_3_0,23674141580.0
bs0_3_1,23840029580.0
bs0_3_2,23749957580.0
bs0_3_3,23775013580.0
bs0_3_4,23957749580.0
bs0_3_5,23936365580.0
bs0_3_6,22126069580.0
bs0_3_7,22622653580.0
bs0_3_8,21907693580.0
bs0_3_9,23400901580.0
bs0_3_10,23703949580.0
bs0_3_11,23560093580.0
bs0_3_12,23544973580.0
bs0_3_13,23280589580.0
bs0_3_14,23271949580.0
bs0_3_15,21297709580.0
bs0_3_16,21561661580.0
bs0_3_17,20728981580.0
bs0_3_18,23260069580.0
bs0_3_19,23115349580.0
bs0_3_20,23210605580.0
bs0_3_21,23217301580.0
bs0_3_22,23372173580.0
bs0_3_23,23377141580.0
bs0_4_0,26194999195.0
bs0_4_1,26378551195.0
bs0_4_2,26278888195.0
bs0_4_3,26306612195.0
bs0_4_4,26508806195.0
bs0_4_5,26485145195.0
bs0_4_6,24482086195.0
bs0_4_7,25031547195.0
bs0_4_8,24240457195.0
bs0_4_9,25892664195.0
bs0_4_10,26227981195.0
bs0_4_11,26068807195.0
bs0_4_12,26052077195.0
bs0_4_13,25759541195.0
bs0_4_14,25749981195.0
bs0_4_15,23565521195.0
bs0_4_16,23857579195.0
bs0_4_17,22936234195.0
bs0_4_18,25736836195.0
bs0_4_19,25576706195.0
bs0_4_20,25682105195.0
bs0_4_21,25689514195.0
bs0_4_22,25860877195.0
bs0_4_23,25866374195.0
bs0_5_0,28715856810.0
bs0_5_1,28917072810.0
bs0_5_2,28807818810.0
bs0_5_3,28838210810.0
bs0_5_4,29059862810.0
bs0_5_5,29033924810.0
bs0_5_6,26838102810.0
bs0_5_7,27440440810.0
bs0_5_8,26573220810.0
bs0_5_9,28384426810.0
bs0_5_10,28752012810.0
bs0_5_11,28577520810.0
bs0_5_12,28559180810.0
bs0_5_13,28238492810.0
bs0_5_14,28228012810.0
bs0_5_15,25833332810.0
