,Value
bs0_1_0,18750066350.0
bs0_1_1,18639736350.0
bs0_1_2,18708756350.0
bs0_1_3,18724736350.0
bs0_1_4,18655886350.0
bs0_1_5,18766046350.0
bs0_1_6,17841926350.0
bs0_1_7,17955656350.0
bs0_1_8,17922846350.0
bs0_1_9,18689036350.0
bs0_1_10,18690906350.0
bs0_1_11,18519376350.0
bs0_1_12,18475686350.0
bs0_1_13,18389156350.0
bs0_1_14,18485886350.0
bs0_1_15,16580696350.0
bs0_1_16,16578486350.0
bs0_1_17,17563976350.0
bs0_1_18,18627666350.0
bs0_1_19,18502206350.0
bs0_1_20,18512576350.0
bs0_1_21,18572586350.0
bs0_1_22,18564086350.0
bs0_1_23,18467186350.0
bs0_2_0,21286839965.0
bs0_2_1,21161582965.0
bs0_2_2,21239940965.0
bs0_2_3,21258082965.0
bs0_2_4,21179917965.0
bs0_2_5,21304981965.0
bs0_2_6,20255833965.0
bs0_2_7,20384950965.0
bs0_2_8,20347701965.0
bs0_2_9,21217552965.0
bs0_2_10,21219675965.0
bs0_2_11,21024938965.0
bs0_2_12,20975337965.0
bs0_2_13,20877100965.0
bs0_2_14,20986917965.0
bs0_2_15,18823966965.0
bs0_2_16,18821457965.0
bs0_2_17,19940278965.0
bs0_2_18,21147879965.0
bs0_2_19,21005445965.0
bs0_2_20,21017218965.0
bs0_2_21,21085347965.0
bs0_2_22,21075697965.0
bs0_2_23,20965687965.0
bs0_3_0,23823613580.0
bs0_3_1,23683429580.0
bs0_3_2,23771125580.0
bs0_3_3,23791429580.0
bs0_3_4,23703949580.0
bs0_3_5,23843917580.0
bs0_3_6,22669741580.0
bs0_3_7,22814245580.0
bs0_3_8,22772557580.0
bs0_3_9,23746069580.0
bs0_3_10,23748445580.0
bs0_3_11,23530501580.0
bs0_3_12,23474989580.0
bs0_3_13,23365045580.0
bs0_3_14,23487949580.0
bs0_3_15,21067237580.0
bs0_3_16,21064429580.0
bs0_3_17,22316581580.0
bs0_3_18,23668093580.0
bs0_3_19,23508685580.0
bs0_3_20,23521861580.0
bs0_3_21,23598109580.0
bs0_3_22,23587309580.0
bs0_3_23,23464189580.0
bs0_4_0,26360387195.0
bs0_4_1,26205276195.0
bs0_4_2,26302310195.0
bs0_4_3,26324776195.0
bs0_4_4,26227981195.0
bs0_4_5,26382853195.0
bs0_4_6,25083649195.0
bs0_4_7,25243540195.0
bs0_4_8,25197413195.0
bs0_4_9,26274586195.0
bs0_4_10,26277215195.0
bs0_4_11,26036064195.0
bs0_4_12,25974641195.0
bs0_4_13,25852990195.0
bs0_4_14,25988981195.0
bs0_4_15,23310508195.0
bs0_4_16,23307401195.0
bs0_4_17,24692884195.0
bs0_4_18,26188307195.0
bs0_4_19,26011925195.0
bs0_4_20,26026504195.0
bs0_4_21,26110871195.0
bs0_4_22,26098921195.0
bs0_4_23,25962691195.0
bs0_5_0,28897160810.0
bs0_5_1,28727122810.0
bs0_5_2,28833494810.0
bs0_5_3,28858122810.0
bs0_5_4,28752012810.0
bs0_5_5,28921788810.0
bs0_5_6,27497556810.0
bs0_5_7,27672834810.0
bs0_5_8,27622268810.0
bs0_5_9,28803102810.0
bs0_5_10,28805984810.0
bs0_5_11,28541626810.0
bs0_5_12,28474292810.0
bs0_5_13,28340934810.0
bs0_5_14,28490012810.0
bs0_5_15,25553778810.0
bs0_5_16,25550372810.0
bs0_5_17,27069186810.0
bs0_5_18,28708520810.0
bs0_5_19,28515164810.0
bs0_5_20,28531146810.0
bs0_5_21,28623632810.0
bs0_5_22,28610532810.0
bs0_5_23,28461192810.0
bs0_6_0,31433934425.0
bs0_6_1,31248969425.0
bs0_6_2,31364679425.0
bs0_6_3,31391469425.0
bs0_6_4,31276044425.0
bs0_6_5,31460724425.0
bs0_6_6,29911464425.0
bs0_6_7,30102129425.0
bs0_6_8,30047124425.0
bs0_6_9,31331619425.0
bs0_6_10,31334754425.0
bs0_6_11,31047189425.0
bs0_6_12,30973944425.0
bs0_6_13,30828879425.0
bs0_6_14,30991044425.0
bs0_6_15,27797049425.0
bs0_6_16,27793344425.0
bs0_6_17,29445489425.0
bs0_6_18,31228734425.0
bs0_6_19,31018404425.0
bs0_6_20,31035789425.0
bs0_6_21,31136394425.0
bs0_6_22,31122144425.0
bs0_6_23,30959694425.0
bs0_7_0,33970708040.0
bs0_7_1,33770816040.0
bs0_7_2,33895864040.0
bs0_7_3,33924816040.0
bs0_7_4,33800076040.0
bs0_7_5,33999660040.0
bs0_7_6,32325372040.0
bs0_7_7,32531424040.0
bs0_7_8,32471980040.0
bs0_7_9,33860136040.0
bs0_7_10,33863524040.0
bs0_7_11,33552752040.0
bs0_7_12,33473596040.0
bs0_7_13,33316824040.0
bs0_7_14,33492076040.0
bs0_7_15,30040320040.0
bs0_7_16,30036316040.0
bs0_7_17,31821792040.0
bs0_7_18,33748948040.0
bs0_7_19,33521644040.0
bs0_7_20,33540432040.0
bs0_7_21,33649156040.0
bs0_7_22,33633756040.0
bs0_7_23,33458196040.0
bs0_8_0,36507481655.0
bs0_8_1,36292662655.0
bs0_8_2,36427048655.0
bs0_8_3,36458162655.0
bs0_8_4,36324107655.0
bs0_8_5,36538595655.0
bs0_8_6,34739279655.0
bs0_8_7,34960718655.0
bs0_8_8,34896835655.0
bs0_8_9,36388652655.0
bs0_8_10,36392293655.0
bs0_8_11,36058314655.0
bs0_8_12,35973247655.0
bs0_8_13,35804768655.0
bs0_8_14,35993107655.0
bs0_8_15,32283590655.0
bs0_8_16,32279287655.0
bs0_8_17,34198094655.0
bs0_8_18,36269161655.0
bs0_8_19,36024883655.0
bs0_8_20,36045074655.0
bs0_8_21,36161917655.0
bs0_8_22,36145367655.0
bs0_8_23,35956697655.0
bs0_9_0,39044255270.0
bs0_9_1,38814509270.0
bs0_9_2,38958233270.0
bs0_9_3,38991509270.0
bs0_9_4,38848139270.0
bs0_9_5,39077531270.0
bs0_9_6,37153187270.0
bs0_9_7,37390013270.0
bs0_9_8,37321691270.0
bs0_9_9,38917169270.0
bs0_9_10,38921063270.0
bs0_9_11,38563877270.0
bs0_9_12,38472899270.0
bs0_9_13,38292713270.0
bs0_9_14,38494139270.0
bs0_9_15,34526861270.0
bs0_9_16,34522259270.0
bs0_9_17,36574397270.0
bs0_9_18,38789375270.0
bs0_9_19,38528123270.0
bs0_9_20,38549717270.0
bs0_9_21,38674679270.0
bs0_9_22,38656979270.0
bs0_9_23,38455199270.0
bs0_10_0,41581028885.0
bs0_10_1,41336355885.0
bs0_10_2,41489417885.0
bs0_10_3,41524855885.0
bs0_10_4,41372170885.0
bs0_10_5,41616466885.0
bs0_10_6,39567094885.0
bs0_10_7,39819307885.0
bs0_10_8,39746546885.0
bs0_10_9,41445685885.0
bs0_10_10,41449832885.0
bs0_10_11,41069439885.0
bs0_10_12,40972550885.0
bs0_10_13,40780657885.0
bs0_10_14,40995170885.0
bs0_10_15,36770131885.0
bs0_10_16,36765230885.0
bs0_10_17,38950699885.0
bs0_10_18,41309588885.0
bs0_10_19,41031362885.0
bs0_10_20,41054359885.0
bs0_10_21,41187440885.0
bs0_10_22,41168590885.0
bs0_10_23,40953700885.0
bs1_1_0,27573627112.5
bs1_1_1,27411377112.5
bs1_1_2,27512877112.5
bs1_1_3,27536377112.5
bs1_1_4,27435127112.5
bs1_1_5,27597127112.5
bs1_1_6,26238127112.5
bs1_1_7,26405377112.5
bs1_1_8,26357127112.5
bs1_1_9,27483877112.5
bs1_1_10,27486627112.5
bs1_1_11,27234377112.5
bs1_1_12,27170127112.5
bs1_1_13,27042877112.5
bs1_1_14,27185127112.5
bs1_1_15,24383377112.5
bs1_1_16,24380127112.5
bs1_1_17,25829377112.5
bs1_1_18,27393627112.5
bs1_1_19,27209127112.5
bs1_1_20,27224377112.5
bs1_1_21,27312627112.5
bs1_1_22,27300127112.5
bs1_1_23,27157627112.5
bs1_2_0,28676572145.0
bs1_2_1,28507832145.0
bs1_2_2,28613392145.0
bs1_2_3,28637832145.0
bs1_2_4,28532532145.0
bs1_2_5,28701012145.0
bs1_2_6,27287652145.0
bs1_2_7,27461592145.0
bs1_2_8,27411412145.0
bs1_2_9,28583232145.0
bs1_2_10,28586092145.0
bs1_2_11,28323752145.0
bs1_2_12,28256932145.0
bs1_2_13,28124592145.0
bs1_2_14,28272532145.0
bs1_2_15,25358712145.0
bs1_2_16,25355332145.0
bs1_2_17,26862552145.0
bs1_2_18,28489372145.0
bs1_2_19,28297492145.0
bs1_2_20,28313352145.0
bs1_2_21,28405132145.0
bs1_2_22,28392132145.0
bs1_2_23,28243932145.0
bs1_3_0,29779517177.5
bs1_3_1,29604287177.5
bs1_3_2,29713907177.5
bs1_3_3,29739287177.5
bs1_3_4,29629937177.5
bs1_3_5,29804897177.5
bs1_3_6,28337177177.5
bs1_3_7,28517807177.5
bs1_3_8,28465697177.5
bs1_3_9,29682587177.5
bs1_3_10,29685557177.5
bs1_3_11,29413127177.5
bs1_3_12,29343737177.5
bs1_3_13,29206307177.5
bs1_3_14,29359937177.5
bs1_3_15,26334047177.5
bs1_3_16,26330537177.5
bs1_3_17,27895727177.5
bs1_3_18,29585117177.5
bs1_3_19,29385857177.5
bs1_3_20,29402327177.5
bs1_3_21,29497637177.5
bs1_3_22,29484137177.5
bs1_3_23,29330237177.5
bs1_4_0,30882462210.0
bs1_4_1,30700742210.0
bs1_4_2,30814422210.0
bs1_4_3,30840742210.0
bs1_4_4,30727342210.0
bs1_4_5,30908782210.0
bs1_4_6,29386702210.0
bs1_4_7,29574022210.0
bs1_4_8,29519982210.0
bs1_4_9,30781942210.0
bs1_4_10,30785022210.0
bs1_4_11,30502502210.0
bs1_4_12,30430542210.0
bs1_4_13,30288022210.0
bs1_4_14,30447342210.0
bs1_4_15,27309382210.0
bs1_4_16,27305742210.0
bs1_4_17,28928902210.0
bs1_4_18,30680862210.0
bs1_4_19,30474222210.0
bs1_4_20,30491302210.0
bs1_4_21,30590142210.0
bs1_4_22,30576142210.0
bs1_4_23,30416542210.0
bs1_5_0,31985407242.5
bs1_5_1,31797197242.5
bs1_5_2,31914937242.5
bs1_5_3,31942197242.5
bs1_5_4,31824747242.5
bs1_5_5,32012667242.5
bs1_5_6,30436227242.5
bs1_5_7,30630237242.5
bs1_5_8,30574267242.5
bs1_5_9,31881297242.5
bs1_5_10,31884487242.5
bs1_5_11,31591877242.5
bs1_5_12,31517347242.5
bs1_5_13,31369737242.5
bs1_5_14,31534747242.5
bs1_5_15,28284717242.5
bs1_5_16,28280947242.5
bs1_5_17,29962077242.5
bs1_5_18,31776607242.5
bs1_5_19,31562587242.5
bs1_5_20,31580277242.5
bs1_5_21,31682647242.5
bs1_5_22,31668147242.5
bs1_5_23,31502847242.5
bs1_6_0,33088352275.0
bs1_6_1,32893652275.0
bs1_6_2,33015452275.0
bs1_6_3,33043652275.0
bs1_6_4,32922152275.0
bs1_6_5,33116552275.0
bs1_6_6,31485752275.0
bs1_6_7,31686452275.0
bs1_6_8,31628552275.0
bs1_6_9,32980652275.0
bs1_6_10,32983952275.0
bs1_6_11,32681252275.0
bs1_6_12,32604152275.0
bs1_6_13,32451452275.0
bs1_6_14,32622152275.0
bs1_6_15,29260052275.0
bs1_6_16,29256152275.0
bs1_6_17,30995252275.0
bs1_6_18,32872352275.0
bs1_6_19,32650952275.0
bs1_6_20,32669252275.0
bs1_6_21,32775152275.0
bs1_6_22,32760152275.0
bs1_6_23,32589152275.0
bs1_7_0,34191297307.5
bs1_7_1,33990107307.5
bs1_7_2,34115967307.5
bs1_7_3,34145107307.5
bs1_7_4,34019557307.5
bs1_7_5,34220437307.5
bs1_7_6,32535277307.5
bs1_7_7,32742667307.5
bs1_7_8,32682837307.5
bs1_7_9,34080007307.5
bs1_7_10,34083417307.5
bs1_7_11,33770627307.5
bs1_7_12,33690957307.5
bs1_7_13,33533167307.5
bs1_7_14,33709557307.5
bs1_7_15,30235387307.5
bs1_7_16,30231357307.5
bs1_7_17,32028427307.5
bs1_7_18,33968097307.5
bs1_7_19,33739317307.5
bs1_7_20,33758227307.5
bs1_7_21,33867657307.5
bs1_7_22,33852157307.5
bs1_7_23,33675457307.5
bs1_8_0,35294242340.0
bs1_8_1,35086562340.0
bs1_8_2,35216482340.0
bs1_8_3,35246562340.0
bs1_8_4,35116962340.0
bs1_8_5,35324322340.0
bs1_8_6,33584802340.0
bs1_8_7,33798882340.0
bs1_8_8,33737122340.0
bs1_8_9,35179362340.0
bs1_8_10,35182882340.0
bs1_8_11,34860002340.0
bs1_8_12,34777762340.0
bs1_8_13,34614882340.0
bs1_8_14,34796962340.0
bs1_8_15,31210722340.0
bs1_8_16,31206562340.0
bs1_8_17,33061602340.0
bs1_8_18,35063842340.0
bs1_8_19,34827682340.0
bs1_8_20,34847202340.0
bs1_8_21,34960162340.0
bs1_8_22,34944162340.0
bs1_8_23,34761762340.0
bs1_9_0,36397187372.5
bs1_9_1,36183017372.5
bs1_9_2,36316997372.5
bs1_9_3,36348017372.5
bs1_9_4,36214367372.5
bs1_9_5,36428207372.5
bs1_9_6,34634327372.5
bs1_9_7,34855097372.5
bs1_9_8,34791407372.5
bs1_9_9,36278717372.5
bs1_9_10,36282347372.5
bs1_9_11,35949377372.5
bs1_9_12,35864567372.5
bs1_9_13,35696597372.5
bs1_9_14,35884367372.5
bs1_9_15,32186057372.5
