,Value
bs0_1_0,18726436350.0
bs0_1_1,18645006350.0
bs0_1_2,18770466350.0
bs0_1_3,18637526350.0
bs0_1_4,18824696350.0
bs0_1_5,18708586350.0
bs0_1_6,16991926350.0
bs0_1_7,17342806350.0
bs0_1_8,17966876350.0
bs0_1_9,18415846350.0
bs0_1_10,18490476350.0
bs0_1_11,18343426350.0
bs0_1_12,18628516350.0
bs0_1_13,18689206350.0
bs0_1_14,18660986350.0
bs0_1_15,17523006350.0
bs0_1_16,17127756350.0
bs0_1_17,17611746350.0
bs0_1_18,18337306350.0
bs0_1_19,18232076350.0
bs0_1_20,18196716350.0
bs0_1_21,18414996350.0
bs0_1_22,18265906350.0
bs0_1_23,18251116350.0
bs0_2_0,21260012965.0
bs0_2_1,21167565965.0
bs0_2_2,21309999965.0
bs0_2_3,21159073965.0
bs0_2_4,21371566965.0
bs0_2_5,21239747965.0
bs0_2_6,19290833965.0
bs0_2_7,19689185965.0
bs0_2_8,20397688965.0
bs0_2_9,20907401965.0
bs0_2_10,20992128965.0
bs0_2_11,20825183965.0
bs0_2_12,21148844965.0
bs0_2_13,21217745965.0
bs0_2_14,21185707965.0
bs0_2_15,19893765965.0
bs0_2_16,19445040965.0
bs0_2_17,19994511965.0
bs0_2_18,20818235965.0
bs0_2_19,20698768965.0
bs0_2_20,20658624965.0
bs0_2_21,20906436965.0
bs0_2_22,20737175965.0
bs0_2_23,20720384965.0
bs0_3_0,23793589580.0
bs0_3_1,23690125580.0
bs0_3_2,23849533580.0
bs0_3_3,23680621580.0
bs0_3_4,23918437580.0
bs0_3_5,23770909580.0
bs0_3_6,21589741580.0
bs0_3_7,22035565580.0
bs0_3_8,22828501580.0
bs0_3_9,23398957580.0
bs0_3_10,23493781580.0
bs0_3_11,23306941580.0
bs0_3_12,23669173580.0
bs0_3_13,23746285580.0
bs0_3_14,23710429580.0
bs0_3_15,22264525580.0
bs0_3_16,21762325580.0
bs0_3_17,22377277580.0
bs0_3_18,23299165580.0
bs0_3_19,23165461580.0
bs0_3_20,23120533580.0
bs0_3_21,23397877580.0
bs0_3_22,23208445580.0
bs0_3_23,23189653580.0
bs0_4_0,26327166195.0
bs0_4_1,26212685195.0
bs0_4_2,26389067195.0
bs0_4_3,26202169195.0
bs0_4_4,26465308195.0
bs0_4_5,26302071195.0
bs0_4_6,23888649195.0
bs0_4_7,24381945195.0
bs0_4_8,25259314195.0
bs0_4_9,25890513195.0
bs0_4_10,25995434195.0
bs0_4_11,25788699195.0
bs0_4_12,26189502195.0
bs0_4_13,26274825195.0
bs0_4_14,26235151195.0
bs0_4_15,24635285195.0
bs0_4_16,24079610195.0
bs0_4_17,24760043195.0
bs0_4_18,25780095195.0
bs0_4_19,25632154195.0
bs0_4_20,25582442195.0
bs0_4_21,25889318195.0
bs0_4_22,25679715195.0
bs0_4_23,25658922195.0
bs0_5_0,28860742810.0
bs0_5_1,28735244810.0
bs0_5_2,28928600810.0
bs0_5_3,28723716810.0
bs0_5_4,29012178810.0
bs0_5_5,28833232810.0
bs0_5_6,26187556810.0
bs0_5_7,26728324810.0
bs0_5_8,27690126810.0
bs0_5_9,28382068810.0
bs0_5_10,28497086810.0
bs0_5_11,28270456810.0
bs0_5_12,28709830810.0
bs0_5_13,28803364810.0
bs0_5_14,28759872810.0
bs0_5_15,27006044810.0
bs0_5_16,26396894810.0
bs0_5_17,27142808810.0
bs0_5_18,28261024810.0
bs0_5_19,28098846810.0
bs0_5_20,28044350810.0
bs0_5_21,28380758810.0
bs0_5_22,28150984810.0
bs0_5_23,28128190810.0
bs0_6_0,31394319425.0
bs0_6_1,31257804425.0
bs0_6_2,31468134425.0
bs0_6_3,31245264425.0
bs0_6_4,31559049425.0
bs0_6_5,31364394425.0
bs0_6_6,28486464425.0
bs0_6_7,29074704425.0
bs0_6_8,30120939425.0
bs0_6_9,30873624425.0
bs0_6_10,30998739425.0
bs0_6_11,30752214425.0
bs0_6_12,31230159425.0
bs0_6_13,31331904425.0
bs0_6_14,31284594425.0
bs0_6_15,29376804425.0
bs0_6_16,28714179425.0
bs0_6_17,29525574425.0
bs0_6_18,30741954425.0
bs0_6_19,30565539425.0
bs0_6_20,30506259425.0
bs0_6_21,30872199425.0
bs0_6_22,30622254425.0
bs0_6_23,30597459425.0
bs0_7_0,33927896040.0
bs0_7_1,33780364040.0
bs0_7_2,34007668040.0
bs0_7_3,33766812040.0
bs0_7_4,34105920040.0
bs0_7_5,33895556040.0
bs0_7_6,30785372040.0
bs0_7_7,31421084040.0
bs0_7_8,32551752040.0
bs0_7_9,33365180040.0
bs0_7_10,33500392040.0
bs0_7_11,33233972040.0
bs0_7_12,33750488040.0
bs0_7_13,33860444040.0
bs0_7_14,33809316040.0
bs0_7_15,31747564040.0
bs0_7_16,31031464040.0
bs0_7_17,31908340040.0
bs0_7_18,33222884040.0
bs0_7_19,33032232040.0
bs0_7_20,32968168040.0
bs0_7_21,33363640040.0
bs0_7_22,33093524040.0
bs0_7_23,33066728040.0
bs0_8_0,36461472655.0
bs0_8_1,36302923655.0
bs0_8_2,36547201655.0
bs0_8_3,36288359655.0
bs0_8_4,36652790655.0
bs0_8_5,36426717655.0
bs0_8_6,33084279655.0
bs0_8_7,33767463655.0
bs0_8_8,34982564655.0
bs0_8_9,35856735655.0
bs0_8_10,36002044655.0
bs0_8_11,35715729655.0
bs0_8_12,36270816655.0
bs0_8_13,36388983655.0
bs0_8_14,36334037655.0
bs0_8_15,34118323655.0
bs0_8_16,33348748655.0
bs0_8_17,34291105655.0
bs0_8_18,35703813655.0
bs0_8_19,35498924655.0
bs0_8_20,35430076655.0
bs0_8_21,35855080655.0
bs0_8_22,35564793655.0
bs0_8_23,35535996655.0
bs0_9_0,38995049270.0
bs0_9_1,38825483270.0
bs0_9_2,39086735270.0
bs0_9_3,38809907270.0
bs0_9_4,39199661270.0
bs0_9_5,38957879270.0
bs0_9_6,35383187270.0
bs0_9_7,36113843270.0
bs0_9_8,37413377270.0
bs0_9_9,38348291270.0
bs0_9_10,38503697270.0
bs0_9_11,38197487270.0
bs0_9_12,38791145270.0
bs0_9_13,38917523270.0
bs0_9_14,38858759270.0
bs0_9_15,36489083270.0
bs0_9_16,35666033270.0
bs0_9_17,36673871270.0
bs0_9_18,38184743270.0
bs0_9_19,37965617270.0
bs0_9_20,37891985270.0
bs0_9_21,38346521270.0
bs0_9_22,38036063270.0
bs0_9_23,38005265270.0
bs0_10_0,41528625885.0
bs0_10_1,41348042885.0
bs0_10_2,41626268885.0
bs0_10_3,41331454885.0
bs0_10_4,41746531885.0
bs0_10_5,41489040885.0
bs0_10_6,37682094885.0
bs0_10_7,38460222885.0
bs0_10_8,39844189885.0
bs0_10_9,40839846885.0
bs0_10_10,41005349885.0
bs0_10_11,40679244885.0
bs0_10_12,41311473885.0
bs0_10_13,41446062885.0
bs0_10_14,41383480885.0
bs0_10_15,38859842885.0
bs0_10_16,37983317885.0
bs0_10_17,39056636885.0
bs0_10_18,40665672885.0
bs0_10_19,40432309885.0
bs0_10_20,40353893885.0
bs0_10_21,40837961885.0
bs0_10_22,40507332885.0
bs0_10_23,40474533885.0
bs1_1_0,27538877112.5
bs1_1_1,27419127112.5
bs1_1_2,27603627112.5
bs1_1_3,27408127112.5
bs1_1_4,27683377112.5
bs1_1_5,27512627112.5
bs1_1_6,24988127112.5
bs1_1_7,25504127112.5
bs1_1_8,26421877112.5
bs1_1_9,27082127112.5
bs1_1_10,27191877112.5
bs1_1_11,26975627112.5
bs1_1_12,27394877112.5
bs1_1_13,27484127112.5
bs1_1_14,27442627112.5
bs1_1_15,25769127112.5
bs1_1_16,25187877112.5
bs1_1_17,25899627112.5
bs1_1_18,26966627112.5
bs1_1_19,26811877112.5
bs1_1_20,26759877112.5
bs1_1_21,27080877112.5
bs1_1_22,26861627112.5
bs1_1_23,26839877112.5
bs1_2_0,28640432145.0
bs1_2_1,28515892145.0
bs1_2_2,28707772145.0
bs1_2_3,28504452145.0
bs1_2_4,28790712145.0
bs1_2_5,28613132145.0
bs1_2_6,25987652145.0
bs1_2_7,26524292145.0
bs1_2_8,27478752145.0
bs1_2_9,28165412145.0
bs1_2_10,28279552145.0
bs1_2_11,28054652145.0
bs1_2_12,28490672145.0
bs1_2_13,28583492145.0
bs1_2_14,28540332145.0
bs1_2_15,26799892145.0
bs1_2_16,26195392145.0
bs1_2_17,26935612145.0
bs1_2_18,28045292145.0
bs1_2_19,27884352145.0
bs1_2_20,27830272145.0
bs1_2_21,28164112145.0
bs1_2_22,27936092145.0
bs1_2_23,27913472145.0
bs1_3_0,29741987177.5
bs1_3_1,29612657177.5
bs1_3_2,29811917177.5
bs1_3_3,29600777177.5
bs1_3_4,29898047177.5
bs1_3_5,29713637177.5
bs1_3_6,26987177177.5
bs1_3_7,27544457177.5
bs1_3_8,28535627177.5
bs1_3_9,29248697177.5
bs1_3_10,29367227177.5
bs1_3_11,29133677177.5
bs1_3_12,29586467177.5
bs1_3_13,29682857177.5
bs1_3_14,29638037177.5
bs1_3_15,27830657177.5
bs1_3_16,27202907177.5
bs1_3_17,27971597177.5
bs1_3_18,29123957177.5
bs1_3_19,28956827177.5
bs1_3_20,28900667177.5
bs1_3_21,29247347177.5
bs1_3_22,29010557177.5
bs1_3_23,28987067177.5
bs1_4_0,30843542210.0
bs1_4_1,30709422210.0
bs1_4_2,30916062210.0
bs1_4_3,30697102210.0
bs1_4_4,31005382210.0
bs1_4_5,30814142210.0
bs1_4_6,27986702210.0
bs1_4_7,28564622210.0
bs1_4_8,29592502210.0
bs1_4_9,30331982210.0
bs1_4_10,30454902210.0
bs1_4_11,30212702210.0
bs1_4_12,30682262210.0
bs1_4_13,30782222210.0
bs1_4_14,30735742210.0
bs1_4_15,28861422210.0
bs1_4_16,28210422210.0
bs1_4_17,29007582210.0
bs1_4_18,30202622210.0
bs1_4_19,30029302210.0
bs1_4_20,29971062210.0
bs1_4_21,30330582210.0
bs1_4_22,30085022210.0
bs1_4_23,30060662210.0
bs1_5_0,31945097242.5
bs1_5_1,31806187242.5
bs1_5_2,32020207242.5
bs1_5_3,31793427242.5
bs1_5_4,32112717242.5
bs1_5_5,31914647242.5
bs1_5_6,28986227242.5
bs1_5_7,29584787242.5
bs1_5_8,30649377242.5
bs1_5_9,31415267242.5
bs1_5_10,31542577242.5
bs1_5_11,31291727242.5
bs1_5_12,31778057242.5
bs1_5_13,31881587242.5
bs1_5_14,31833447242.5
bs1_5_15,29892187242.5
bs1_5_16,29217937242.5
bs1_5_17,30043567242.5
bs1_5_18,31281287242.5
bs1_5_19,31101777242.5
bs1_5_20,31041457242.5
bs1_5_21,31413817242.5
bs1_5_22,31159487242.5
bs1_5_23,31134257242.5
bs1_6_0,33046652275.0
bs1_6_1,32902952275.0
bs1_6_2,33124352275.0
bs1_6_3,32889752275.0
bs1_6_4,33220052275.0
bs1_6_5,33015152275.0
bs1_6_6,29985752275.0
bs1_6_7,30604952275.0
bs1_6_8,31706252275.0
bs1_6_9,32498552275.0
bs1_6_10,32630252275.0
bs1_6_11,32370752275.0
bs1_6_12,32873852275.0
bs1_6_13,32980952275.0
bs1_6_14,32931152275.0
bs1_6_15,30922952275.0
bs1_6_16,30225452275.0
bs1_6_17,31079552275.0
bs1_6_18,32359952275.0
bs1_6_19,32174252275.0
bs1_6_20,32111852275.0
bs1_6_21,32497052275.0
bs1_6_22,32233952275.0
bs1_6_23,32207852275.0
bs1_7_0,34148207307.5
bs1_7_1,33999717307.5
bs1_7_2,34228497307.5
bs1_7_3,33986077307.5
bs1_7_4,34327387307.5
bs1_7_5,34115657307.5
bs1_7_6,30985277307.5
bs1_7_7,31625117307.5
bs1_7_8,32763127307.5
bs1_7_9,33581837307.5
bs1_7_10,33717927307.5
bs1_7_11,33449777307.5
bs1_7_12,33969647307.5
bs1_7_13,34080317307.5
bs1_7_14,34028857307.5
bs1_7_15,31953717307.5
bs1_7_16,31232967307.5
bs1_7_17,32115537307.5
bs1_7_18,33438617307.5
bs1_7_19,33246727307.5
bs1_7_20,33182247307.5
bs1_7_21,33580287307.5
bs1_7_22,33308417307.5
bs1_7_23,33281447307.5
bs1_8_0,35249762340.0
bs1_8_1,35096482340.0
bs1_8_2,35332642340.0
bs1_8_3,35082402340.0
bs1_8_4,35434722340.0
bs1_8_5,35216162340.0
bs1_8_6,31984802340.0
bs1_8_7,32645282340.0
bs1_8_8,33820002340.0
bs1_8_9,34665122340.0
bs1_8_10,34805602340.0
bs1_8_11,34528802340.0
bs1_8_12,35065442340.0
bs1_8_13,35179682340.0
bs1_8_14,35126562340.0
bs1_8_15,32984482340.0
bs1_8_16,32240482340.0
bs1_8_17,33151522340.0
bs1_8_18,34517282340.0
bs1_8_19,34319202340.0
bs1_8_20,34252642340.0
bs1_8_21,34663522340.0
bs1_8_22,34382882340.0
bs1_8_23,34355042340.0
bs1_9_0,36351317372.5
bs1_9_1,36193247372.5
bs1_9_2,36436787372.5
bs1_9_3,36178727372.5
bs1_9_4,36542057372.5
bs1_9_5,36316667372.5
bs1_9_6,32984327372.5
bs1_9_7,33665447372.5
bs1_9_8,34876877372.5
bs1_9_9,35748407372.5
bs1_9_10,35893277372.5
bs1_9_11,35607827372.5
bs1_9_12,36161237372.5
bs1_9_13,36279047372.5
bs1_9_14,36224267372.5
bs1_9_15,34015247372.5
bs1_9_16,33247997372.5
bs1_9_17,34187507372.5
bs1_9_18,35595947372.5
bs1_9_19,35391677372.5
bs1_9_20,35323037372.5
bs1_9_21,35746757372.5
bs1_9_22,35457347372.5
bs1_9_23,35428637372.5
bs1_10_0,37452872405.0
bs1_10_1,37290012405.0
bs1_10_2,37540932405.0
bs1_10_3,37275052405.0
bs1_10_4,37649392405.0
bs1_10_5,37417172405.0
bs1_10_6,33983852405.0
bs1_10_7,34685612405.0
bs1_10_8,35933752405.0
bs1_10_9,36831692405.0
bs1_10_10,36980952405.0
bs1_10_11,36686852405.0
bs1_10_12,37257032405.0
bs1_10_13,37378412405.0
bs1_10_14,37321972405.0
bs1_10_15,35046012405.0
bs1_10_16,34255512405.0
bs1_10_17,35223492405.0
bs1_10_18,36674612405.0
bs1_10_19,36464152405.0
bs1_10_20,36393432405.0
bs1_10_21,36829992405.0
bs1_10_22,36531812405.0
bs1_10_23,36502232405.0
bs2_1_0,33046653750.0
bs2_1_1,32902953750.0
bs2_1_2,33124353750.0
bs2_1_3,32889753750.0
bs2_1_4,33220053750.0
bs2_1_5,33015153750.0
bs2_1_6,29985753750.0
bs2_1_7,30604953750.0
bs2_1_8,31706253750.0
bs2_1_9,32498553750.0
bs2_1_10,32630253750.0
bs2_1_11,32370753750.0
bs2_1_12,32873853750.0
bs2_1_13,32980953750.0
bs2_1_14,32931153750.0
bs2_1_15,30922953750.0
bs2_1_16,30225453750.0
bs2_1_17,31079553750.0
bs2_1_18,32359953750.0
bs2_1_19,32174253750.0
bs2_1_20,32111853750.0
bs2_1_21,32497053750.0
bs2_1_22,32233953750.0
bs2_1_23,32207853750.0
bs2_2_0,38554429125.0
bs2_2_1,38386779125.0
bs2_2_2,38645079125.0
bs2_2_3,38371379125.0
bs2_2_4,38756729125.0
bs2_2_5,38517679125.0
bs2_2_6,34983379125.0
bs2_2_7,35705779125.0
bs2_2_8,36990629125.0
bs2_2_9,37914979125.0
bs2_2_10,38068629125.0
bs2_2_11,37765879125.0
bs2_2_12,38352829125.0
bs2_2_13,38477779125.0
bs2_2_14,38419679125.0
bs2_2_15,36076779125.0
bs2_2_16,35263029125.0
bs2_2_17,36259479125.0
bs2_2_18,37753279125.0
bs2_2_19,37536629125.0
bs2_2_20,37463829125.0
bs2_2_21,37913229125.0
bs2_2_22,37606279125.0
